Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Tableau Software,5.0,"Mar 5, 2024",Tableau Was Awesome,Sales Director,"Former Employee, more than 8 years","Chicago, IL",Great Culture. Wanted to Change the World for the better. Genuinely cared about helping people.,Some leaders focused on managing up.
Tableau Software,3.0,"Jan 12, 2024",Still a great product - But Just an overlay to SF now,Account Executive,"Former Employee, more than 3 years","Seattle, WA",Incredible culture while I was there. Changed a lot under SF. Almost unrecognizable now. Product portfolio is still great,Just a subsidiary of SF - Reporting structure up to SF Leadership = little autonomy
Tableau Software,3.0,"Jan 26, 2024",Good Enterprise Experience,Business Development Representative (BDR),Former Employee,"Seattle, WA",Good established structure and culture.,Acquisition by Salesforce changed communication acrossed the company.
Tableau Software,3.0,"Dec 12, 2023",Great place to spend the back half of your career,Member Of Technical Staff,"Current Employee, more than 5 years","Seattle, WA","Not a highly driven workplace so it's easy to balance work and life. If you just want to put in your time and collect a check, you will be in like company.",So much bureaucracy and poorly implemented systems that it will grind most innovation into dust.
Tableau Software,3.0,"Oct 22, 2023",Great place until upper management changed.,Staff Software Engineer,"Former Employee, more than 5 years","San Francisco, CA","I loved my coworkers. The original Chris & Christian, and the VPs below them, were great to work for. The work was interesting. I loved meeting and working with the Tableau Zen Masters.","After Adam took over things changed. By the time Salesforce bought them, nobody above my manager knew, or seemed to care, who I was. The goalposts toward promotion were constantly moving. I absolutely delivered, got top ratings in my performance reviews, and believe I was well liked by my peers; but I never did get the promotion I was after, and eventually I allowed myself to be hired away."
Tableau Software,4.0,"Oct 26, 2023",Good pay. Challenging work.,Software Engineer SMTS,"Former Employee, more than 1 year","Seattle, WA",Pay is competitive including RSU and bonus. Work is challenging and there is plenty of opportunity for career growth.,"""Ohana"" is just propaganda. The don't value their employees any more than any other large tech company. Don't drink the kool-aid."
Tableau Software,5.0,"Nov 4, 2023",Great program for students,Student Ambassador,Current Employee,"California City, CA",Tableau Swag and network opportunities,Little guidance to conduct workshops
Tableau Software,3.0,"Nov 10, 2023",TAM,Technical Account Manager (TAM),"Former Employee, more than 1 year",,"Great benefits, nice offices, and somewhat competitive pay.","Leadership disorganized and making half baked decisions. Unnecessary layoffs and no direction. TAMs, get ready to take on more responsibilities outside of your role and pay grade."
Tableau Software,4.0,"Oct 5, 2023",Great work environment,Account Executive,"Current Employee, more than 3 years","Columbia, MD",Excellent teamwork very collaborative and supportive,Can be complex integration for larger organizations
Tableau Software,2.0,"Oct 12, 2023",Salesforce is killing us quarter by quarter,Technical Support Engineer,"Current Employee, more than 3 years","Seattle, WA",- Benefits are nice - They pay me some money,- They are making our metric unattainable - they are pushing out employees - they are ruining Tableau - They are forcing us to go back to the office - They don't understand Tableau at all
Tableau Software,5.0,"Sep 20, 2023",Good work-life balance,Analyst,Current Employee,,Good work life balance Exciting Work,Pay could be a bit better
Tableau Software,3.0,"Oct 16, 2023",Decline of a great company under Salesforce,Software Engineer PMTS,"Former Employee, more than 8 years","Seattle, WA",Great product Smart and skilled coworkers,Distinctive product culture is waning since Salesforce started micromanaging Revolving door of executives in charge Values are given lip service
Tableau Software,5.0,"Jul 9, 2023",Great Place to Work,Sales Development Representative (SDR),"Former Employee, more than 3 years","Seattle, WA",Amazing place to work. Great work-life balance and you have the ability to advance your career and learn a lot!,Not many cons to work here.
Tableau Software,4.0,"Aug 2, 2023",Salesforce changed a once great culture,Associate Solution Engineer,Former Employee,"Dallas, TX","Great people, still mostly work form home","Inconsistent promotions cycle, odd product direction"
Tableau Software,5.0,"Jun 27, 2023",Best of the Best,VP of Sales,"Former Employee, more than 3 years","Atlanta, GA","Great Culture, Great Product, Great Customers",Tableau is no longer a stand alone company. It is now part of the Big Tech world. Great news is it is owned and operated by Salesforce which is one of the Best Big Tech Companies to work for…
Tableau Software,5.0,"Jul 17, 2023",Great place to work,ECS Account Executive,"Current Employee, more than 1 year","Seattle, WA",Amazing colleagues to work with,Layoffs earlier in the year affected some folks morale.
Tableau Software,1.0,"Feb 14, 2023",Goodbye work-life balance,Account Executive,"Current Employee, less than 1 year",,"Brand recognition keeps your pipeline full, and inbounds are extremely common. This is where the pros stop for me Amazing parental support (parental leave, fertility support, out of state abortion assistance)","This job was an amazing opportunity however the amount of responsibility you have versus the time you have to get things done is ridiculous. The processes here are not fully defined and are extremely time consuming and long (especially on the tableau side). To get a quote out it takes two approvals with no discounting and extra approvals if discounting is needed. Approvals can take days and you will constantly be submitting SOP requests. The work life balance is not there at all, and the remote workforce is a detriment when it comes to onboarding, training, promoting a culture, team cohesion etc. The differences between the way Tableau reps are supported vs Salesforce reps is astonishing and creates division in many cases. My biggest complaint is purely just that the entire company feels like everyone is purely a number."
Tableau Software,4.0,"Jun 5, 2023",Pretty solid,Enterprise Sales Representative,"Current Employee, more than 1 year",,* Great product * Good brand recognition * Good benefits,* Lots of red tape * Not the best for upward mobility
Tableau Software,4.0,"Apr 24, 2023",Tremendous Company,Program Director,Former Employee,"Seattle, WA","The people are genuine, hard working, and care about each other. The benefits package is fantastic with 401k match, exceptional healthcare insurance, wellness reimbursement, etc. The pay is in-line with other tech companies.","Culture took a hit with the Salesforce integration - i.e., Salesforce employees come first."
Tableau Software,3.0,"Jun 23, 2023",Salesforce gutted the org,Manager,"Former Employee, more than 5 years","Austin, TX","There was a core of great, intelligent, driven people at Tableau that made it a total unicorn. The provider was best of breed and the sales org was driven to succeed.","Once Salesforce purchased the company, the Tableau culture disappeared. As did all the previous leadership."
Tableau Software,4.0,"May 5, 2023",Good company with lots of challenges ahead,Principle Software Engineer,Current Employee,"San Francisco, CA",- Great base salary at the principal engineer level - Many different internal opportunities,- Adapt to market changes too slow
Tableau Software,3.0,"Jun 6, 2023",Salesforce killed Tableau,Regional Vice President,"Former Employee, more than 8 years",,Tableau is an amazing product with radical fan base,"Salesforce killed the momentum, the culture and now Tableau is simply lost. It was amazing while it lasted."
Tableau Software,5.0,"Apr 25, 2023",Great place,Account Executive,"Former Employee, more than 1 year","Chicago, IL","Compensation is good, people are smart, work is interesting.",Layoffs are a morale killer.
Tableau Software,4.0,"Feb 3, 2023",Excellent Culture / Acquisition huccups,SMB Account Executive,"Current Employee, more than 1 year","Austin, TX","Managers are great, no micromanaging, sales process is easier based on segment and sales cycle. Product can sell itself most of the time.","Pay is below average. Since migrating completely into Salesforce, Tableau reps merged under Salesforce reps which caused major disparity in patch/territory size for all afterwards = less pay overall in commissions. Optimistic it changes with major changes to new fiscal year though."
Tableau Software,3.0,"Jul 11, 2023",Post-acquisition blues,Marketing Automation Specialist,Former Employee,"Seattle, WA","Great office, fun company culture","Not diverse, culturally or racially. Poor management from Salesforce acquisition onward"
Tableau Software,3.0,"Jul 17, 2023",new grad eng,Software Engineer,Current Employee,"Seattle, WA",good people and everyone supporting your growth,lot's of turnover with leadership
Tableau Software,5.0,"Apr 13, 2023",good,Software Engineer,"Current Employee, more than 3 years","West Seattle, WA","work-life balance very good, people are nice to work with","n/a, everything is good, pretty chill to work there"
Tableau Software,1.0,"Jul 20, 2023",Farewell,Director of Finance,"Former Employee, more than 1 year","Seattle, WA",Passionate about the product. Love the people I worked with,Salesforce couldn’t track sales and we’re messing up commissions. People started leaving in droves. So I bailed
Tableau Software,5.0,"Apr 17, 2023",.,Enterprise Account Executive,Former Employee,"Washington, DC",Good company and good software,It was better before Salesforce acquistion
Tableau Software,4.0,"Aug 25, 2022",A shadow of its former self,Systems Engineer,Former Employee,,If you are looking for a slow and steady corprorate job - Salesforce/Tableau might be good for you.,"People say that the company has been on a steady downhill trajectory since the Salesforce acquisition, but the reality is that the decline has started long before that. In the early days (late 00's and early 10's) the company had a truly innovative product and an amazing team that revolutionized the BI market. Now it just follows the rest of the industry, building features that on paper address the latest Gartner's hype cycle but in reality dont do anything for customers. (other BI vendors are guilty of that too). After the acquisition many teams have been absorbed into the Salesforce mothership; there is basically no more Tableau."
