Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Rohde & Schwarz,5.0,"Sep 20, 2023",-,Programmer,Current Employee,"Buchanan, MI",good working environment and nice people,not cons to be added
Rohde & Schwarz,3.0,"Feb 16, 2024",Very good benfits,Systems Engineer,Current Employee,,"If you pursue a career as a developer, you'll find ample opportunities to enhance your skills and enjoy significant benefits.",No comments. If you work there you will find con’s.
Rohde & Schwarz,4.0,"Jan 8, 2024","great office, great colleagues, great benefits",Senior Consultant,"Current Employee, more than 5 years","Columbia, MD","R&S is a leader in a stable, growing sector. As a privately-held company, it is able to keep the long-term in view regarding its employees. It offers great healthcare benefits, and dependable colleagues.","As a subsidiary of a German company, many of the important decisions are taken elsewhere, and the ability to influence those decisions as someone working in a satellite entity can be limited."
Rohde & Schwarz,4.0,"Jan 17, 2024",Good place to work,Applications Engineer,Current Employee,"Dallas, TX",Difficult problems that make the job fun!,Depending on where you work you either have micromanagement or hands off management
Rohde & Schwarz,4.0,"Sep 23, 2023",A good work place,Sr. DSP engineer,"Former Employee, more than 1 year","Hillsboro, OR","A fridley working team, work and life balance","Often travel to headquarter in Munich, German"
Rohde & Schwarz,5.0,"Sep 1, 2023",Wonderful place to work,Service Manager,"Current Employee, more than 8 years","Columbia, MD","Great corporate culture, great team of people, awesome products","Slow change management, flat structure"
Rohde & Schwarz,5.0,"Aug 9, 2023",Good place to work,Anonymous Employee,"Former Employee, more than 1 year","Columbia, MD",good place to work with good company culture,"can be a little stuck in their ways, not great room for growth outside of the sales org"
Rohde & Schwarz,5.0,"Aug 17, 2023",Amazing Company,Principal Engineer,"Current Employee, more than 5 years","Columbia, MD","Benefits, Culture, Travel, Work/life balance",I don't have any cons
Rohde & Schwarz,5.0,"Jun 19, 2023","Great work, better people",Account Manager,Current Employee,"San Jose, CA",Small company mentality. Care about the individuals. Flexible and fair. Cool people to work with.,"Not many. The HQ in Germany can be slow to move in the fast paced high tech world, but they know who they are and make sound decisions, amazing HW."
Rohde & Schwarz,5.0,"Jul 13, 2023",Great Company,Applications Engineer,Current Employee,,Great benefits and work culture. Very stable and employees are valued and taken care of.,Monetary compensation can sometimes not compare to other big name companies.
Rohde & Schwarz,4.0,"Jul 5, 2023",Decent Company,Analyst,Former Employee,,The company Supports work-life balance.,None that I can think of.
Rohde & Schwarz,5.0,"Aug 3, 2022",A great company getting better every day!,Support Staff,"Current Employee, more than 8 years","Columbia, MD","I've been here a long time (over 8 years)...I'm still here and don't plan on leaving!

- Benefits are best in industry
- Manager/Executives willing to engage employees
- Relaxed but professional work environment
- Making money in a tough economic environment
- Generally friendly colleagues
- Superior collaboration with experts in Germany","- Pay sometimes lags industry norms
- Turnover in some roles is high (this could be changing due to change in management of this particular area)
- Still has some remnants of poor management communication
- Popularity still seems more important than competence for promotions
- Management appears to look to external sources rather than promote from within and the few jobs that are available are filled before there is any competition for the position"
Rohde & Schwarz,3.0,"May 2, 2023",More Sales oriented organization,Staff Applications Engineer,Current Employee,"Milpitas, CA",You have freedom to work on different aspects,Your technical work is not recognized. Company is more sales oriented so no growth path for Application Engineers
Rohde & Schwarz,1.0,"Jun 30, 2023",Family company,Anonymous Employee,Current Employee,,Keep up with cutting edge technology Networking,Clique atmosphere Very disorganized No changes from feedback
Rohde & Schwarz,4.0,"May 11, 2023",Great Place,Customer Service (CSR),"Current Employee, more than 5 years","Columbia, MD","The benefits, the diversity, the flexibility",Limited opportunities to learn new methods
Rohde & Schwarz,5.0,"Apr 8, 2023",Very good,Applications Engineer,"Current Employee, more than 1 year",,"work culture is good ,very good learning experience. Good Benefits",Some times missing the coordination between teams.
Rohde & Schwarz,5.0,"Jan 3, 2023",Excellent Company,Applications Engineer,Current Employee,,"I love working for this company. There are excellent benefits, great people, and interesting new technologies.",None that I can think of.
Rohde & Schwarz,3.0,"Dec 2, 2022","Flexible, but slow to improve.",Service Technician,"Former Employee, more than 1 year",,Flexible and lax work environment.,Management is slow to address issues.
