Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Diebold Nixdorf,2.0,"Mar 5, 2024",They have too much voice support jobs and not that much tech,Technical Support Specialist,"Current Employee, less than 1 year",Hyderābād,Best reason could be benifits like insurance and both side cab services.,Work is not good and they have only BPO voice related jobs
Diebold Nixdorf,4.0,"Feb 20, 2024",A company with a great future ahead of it,Manager,"Current Employee, more than 10 years","North Canton, OH","The company has come out of its recent financial struggles strongly and the future looks bright.
In most positions if you wish to have a career with this company that option is yours as long as you desire to stay.
Health care benefits are very good.",Career opportunities seem limited at the moment however the company is working to provide information regarding advancement opportunities to all employees.
Diebold Nixdorf,5.0,"Mar 5, 2024",not been here long enough,Field Service Technician,"Current Employee, less than 1 year","Atlanta, GA","vehicle for work, laptop, cellphone, tools, uniform shirts","vehicle monitoring annoying(monitor hard turns, speed limit, hard u turns, hard braking, vehicle idle time)"
Diebold Nixdorf,4.0,"Mar 7, 2024",Good place but keep maintaining status quo,Software Engineer Quality Assurance,"Current Employee, more than 1 year","Querétaro, Querétaro","near downtown, good place and salary",not easy to grown up
Diebold Nixdorf,3.0,"Mar 4, 2024",OK,Senior System Software Engineer,"Former Employee, more than 3 years","Ohio City, OH","Flexible working hour, not too much work.",Work as a fully remote relocated to cusotmer's site. No communication with any other co-worker.
Diebold Nixdorf,2.0,"Feb 27, 2024",Used to be good company ,Customer Service Engineer,"Former Employee, more than 10 years","Richmond, VA","Experience, training, networking, decent insurance",They have a lot of expectations. Big brother is big there. You sell your soul to the devil by taking any position with diebold
Diebold Nixdorf,4.0,"Feb 21, 2024",Great Place to work,Service & Contract Manager,"Former Employee, more than 3 years","North Canton, OH","Work from home, hybrid schedule, limited business trips, great benefits.",Work life balance could be hard from time to time.
Diebold Nixdorf,3.0,"Feb 26, 2024",Good,Anonymous Employee,"Current Employee, more than 1 year",,Salary credit on time. Working hours are good no load of work,Lack of new technologies and increment is very less
Diebold Nixdorf,4.0,"Feb 9, 2024",Great Company however....,Account Director,"Current Employee, more than 1 year","London, England","A great company, with a lot of people to support your customers. A positive and forward thinking business that are always innovative. treat their employees with respect and offer a lot of training.",Customer Service is painful. Financial issues.
Diebold Nixdorf,3.0,"Feb 6, 2024",Was once a great company to work for....,Systems Specialist,"Former Employee, more than 10 years","Hudson, OH","Incredible co-workers, some of the smartest people I've ever worked with.",Company has financial issues and upper management is disconnected. They have been going through reorganizations for the last 7-8 years. Stock was de listed in 2023. Stock holders lost everything.
Diebold Nixdorf,4.0,"Feb 23, 2024",DN Indonesia,Legal Counsel,"Former Employee, more than 1 year",Jakarta,"Good work life balance, pressure is low","For Indonesians, career path is not that great"
Diebold Nixdorf,5.0,"Feb 22, 2024",SRE/DevOps ,SSE- Development,"Former Employee, more than 3 years",Mumbai,"Work-life balance
Product based organization","Old technology
orthodox business line."
Diebold Nixdorf,4.0,"Feb 20, 2024",Decent place to work,Project Manager,Current Employee,,Great culture and team colleagues,Lack of unified Vision by leadership
Diebold Nixdorf,2.0,"Feb 19, 2024",Ok company to work for...,Senior Project Manager,"Former Employee, more than 10 years","Canton, OH","Except for the bankruptcy, a pretty solid company","Bankruptcy, constant org changes to navigate"
Diebold Nixdorf,1.0,"Feb 13, 2024","Good job role, horrible management",Annonyous,"Former Employee, more than 1 year",,"Pay was great, overtime was available and paid, hours were fine and changed on a weekly basis.","Management was horrible, they offered no support or training. I taught myself the role and got singled out if I made mistakes. No one offered any help. The rest of the team were great."
Diebold Nixdorf,5.0,"Feb 15, 2024",Hard work for good pay,Dispatcher,"Current Employee, less than 1 year","Ohio City, OH",Good pay for the job but hard to get raises,Metrics drive your pay annually
Diebold Nixdorf,4.0,"Feb 18, 2024",Good Company,Customer Delivery Manager,"Current Employee, more than 1 year",Sydney,"Supportive 
Pays well 
Growth Mindset 
No two days are the same",More resources required for projects
Diebold Nixdorf,1.0,"Feb 27, 2024",Did not work for me,Wire Harness Assembler,"Former Employee, less than 1 year","North Canton, OH",No job in there is hard to do,Mandatory ot as well as being sent home with no pay
Diebold Nixdorf,4.0,"Feb 14, 2024",Good place,First Line ATM Technician,"Current Employee, more than 8 years","Florida City, FL",Get a car dont have to pay for gas or maintenance good benefits,Too many changes happening in a short time
Diebold Nixdorf,5.0,"Feb 13, 2024",Great place to work,Sr. Software Engineer,"Former Employee, more than 5 years",Mumbai,"Best place to work. Well defined career path, especially in professional services.",Legacy teck stack but migrating to newer ones
Diebold Nixdorf,2.0,"Dec 5, 2023",A once upon a time exceptional company circa 2001,Senior Customer Solutions Engineer,"Current Employee, more than 10 years","Eastover, SC","Company vehicle. An ever changing scope of work and products, you won't get bored.","Upper management (Executives and Board Members) Diebold Nixdorf management is abhorrent. Absolutely disconnected from its value point. Value point is Integrity. Service Technicians. The customers we serve. Under this leadership employee's as well as investors whom believed in this company have been robbed of our DN stock shares. DN filed bankruptcy leaving us out to hang. No reimbursement, no apology. The very next week after bankruptcy DN is back on the exchange with a stock price of 20.00. This is how they treat there own."
Diebold Nixdorf,5.0,"Feb 16, 2024",Great pay,Software Engineer,"Current Employee, more than 1 year",Mumbai,Good career growth and good base pay,No cons. My team was great
Diebold Nixdorf,4.0,"Feb 8, 2024",Diebold Nixdorf ,Physical Security Technician,"Former Employee, more than 8 years","Dallas, TX",One of the easiest jobs I've ever had.,Diebold pays in lower tier of average annual salary for technicians.
Diebold Nixdorf,3.0,"Jan 8, 2024",Poor Leadership,Manager,"Current Employee, more than 10 years",,CEO and Executive leadership team is good.,Leadership members like Sr.Directors and Directors are very poor in technical skills and just don’t help one grow. They just subdue them from growing as per associates wish. This is a poor way of leading team members. They have no trust in the team.
Diebold Nixdorf,4.0,"Feb 5, 2024",Good to have in DN considering career growth,Senior MIS Analyst,"Former Employee, more than 3 years",Mumbai,Good to have in DN considering career growth,Nothing is to dislike in DN
Diebold Nixdorf,4.0,"Feb 1, 2024",Experience ,Repair Technician,"Former Employee, more than 8 years","Fort Worth, TX","Good schedule, vacation time is a plus. They work with you if you have any life issues.",No room for growth. Advancing is almost impossible.
Diebold Nixdorf,5.0,"Feb 6, 2024",Great place to work,Lead Analyst,"Former Employee, more than 1 year",Hyderābād,good Team culture and employee friendly.,Leadership stability and process gaps
Diebold Nixdorf,5.0,"Feb 1, 2024",Staff Accountant Review,Staff Accountant,Former Employee,"Hudson, OH",Great Team to be apart of.,There is not much that I could think of
Diebold Nixdorf,4.0,"Jan 29, 2024",Best place to start in fintech,Software Engineer,"Current Employee, less than 1 year",Mumbai,Best place to work in fintech,Nothing just prepared well your core Java concepts
Diebold Nixdorf,4.0,"Jan 28, 2024",Good to work,Test Engineer,"Current Employee, more than 3 years",Wrocław,Easy as a first or second job. Good teams. Challenging work,Salary should be hardly investigated
Diebold Nixdorf,5.0,"Jan 29, 2024",Software engineer review,Software Engineer,"Former Employee, less than 1 year","Moscow, Moskva",It was a great team. Opportunities for growth.,I do not mentioned yet.
Diebold Nixdorf,4.0,"Jan 31, 2024",DN,Field Technician Supervisor,Former Employee,,"Job security, advancement opportunities, fair benefits.","Poor work/life balance, excessive overtime."
Diebold Nixdorf,2.0,"Feb 1, 2024",Poor,R2R specialist,"Current Employee, more than 3 years",Kuala Lumpur,"Good people to work with
Flexible hours","Poor management from upper level
No benefit"
Diebold Nixdorf,5.0,"Jan 25, 2024",Very Good Place to Work,Lead Analyst,Current Employee,,"Good management , Good Work Culture, Flexible Working Hours",There is no cons i saw
Diebold Nixdorf,2.0,"Jan 5, 2024",Monolithic Application only.,Sr. Software Engineer,"Current Employee, more than 1 year",Hyderābād,Office location is in good place. Team is Good.,"Over work load, Bad management. No work life balance. Old projects in monolithic way. Hiring for development role, but giving different role many time."
Diebold Nixdorf,2.0,"Jan 16, 2024",Not a good place to work for a long time,Finance Analyst,"Former Employee, more than 3 years",Hanoi,Pay on time; Near my home,Toxic environment; not many career path; no finance department in vietnam
Diebold Nixdorf,5.0,"Jan 19, 2024","Solid company, rich is history",Customer Solutions Manager,"Former Employee, more than 8 years","San Antonio, TX",Great company to work for. Will challenge you.,"Tight on budget, Need more frontline associates"
Diebold Nixdorf,5.0,"Jan 16, 2024",Very Good,Analista de Sistemas Júnior,"Current Employee, less than 1 year","Manaus, Amazonas",Excellent company. Very organized. I love work here.,can 't see any cons
Diebold Nixdorf,4.0,"Jan 7, 2024",A great place to work for professionals aspiring career in software development.,Assistant Manager,"Current Employee, more than 3 years",Mumbai,"Excellent workplace, hybrid mode & open environment",Lengthy works for client-facing teams to meet the deliverables
Diebold Nixdorf,3.0,"Dec 26, 2023",Mastery in Micro-Management,Program Manager,"Current Employee, more than 1 year",,You can learn a lot about how constant change affects you.,"Micro-management becomes the prevailing mode of operation.
If you like autonomy, best avoid.*

*Retail R&D department, don't know about other ones."
Diebold Nixdorf,2.0,"Jan 9, 2024",rough waters,Customer Service Manager (CSM),"Current Employee, more than 10 years",,the people I worked with,upper management. was like a yoyo
Diebold Nixdorf,5.0,"Jan 7, 2024",Good,Technical Support,"Current Employee, less than 1 year",Hyderābād,Good organization working culture is good,No cons as of now going smooth
Diebold Nixdorf,3.0,"Jan 10, 2024",.,Field Service Technician,Former Employee,Portugal,flexible work and flexible times,"Low salary, no career growth"
Diebold Nixdorf,3.0,"Dec 28, 2023",Decent job,Physical Security Technician,"Former Employee, more than 1 year","San Jose, CA","- Create your own routes
- Learn a unique skilled trade","- Lack of compensation for exceeding performance expectations
- Work until you're injured company mentality"
Diebold Nixdorf,4.0,"Jan 2, 2024",Good company MNC,Operations Coordinator,Former Employee,Goregaon,Nice work culture for employees,Package is little less as compared to role
Diebold Nixdorf,1.0,"Nov 4, 2023",We could have made it...,Director,"Current Employee, more than 3 years",,Exceptionally strong mid/sr level leaders. CEO is impressive but I fear he will be out in May so new board can place their pawn.,"Bankruptcy difficult and we could have made it except for the misguided decisions of executive leadership. Wasteful spending continues, excessive work for little pay and continued practice of promoting and retaining some of the worst leaders I have ever encountered. Truly a very sad culture with absolutely no stability. Expect to see it fall apart in 6-12 months. No bonuses but still expected to give more."
Diebold Nixdorf,2.0,"Nov 18, 2023",Great WLB but terrible pay,First Line Technician,"Current Employee, more than 3 years","Las Vegas, NV",Work Life Balance is the best I've ever seen.,The Pay is not fair
Diebold Nixdorf,3.0,"Dec 13, 2023",Just a company to get some experiece and jump to something good ,Customer Support Agent,Former Employee,"Warsaw, Masovia",have accesible jobs for everyone,there is no possibility of promotion in some main positions
Diebold Nixdorf,3.0,"Dec 18, 2023",Sinking ship ,Solutions Consultant,"Former Employee, more than 5 years",,Free time and no pressure,"No payment on time, salary cuts, overtime not paid, disaster of management."
Diebold Nixdorf,2.0,"Dec 24, 2023",Challenging and Tiring,Controller,"Former Employee, more than 1 year","Manila, Manila","Stable company
Good pay
Global","Lots of pressure
No work life balance"
Diebold Nixdorf,5.0,"Dec 21, 2023",Review,Technical Support Specialist,"Current Employee, more than 1 year",Hyderābād,It is good for freshers,It has been 2 years every thing is satisfactory
Diebold Nixdorf,4.0,"Dec 18, 2023",Company Review,Software Engineer,Current Employee,Mumbai,Nice Company good to work and better work culture,no cons as of now
Diebold Nixdorf,3.0,"Dec 5, 2023",You always feel unsecured,Team Leader,"Former Employee, more than 3 years",Hyderābād,Few company policies and flexible working hours,You always have that unsecured feeling that what will happen in next 6months due uncertain leadership changes and decisions.
Diebold Nixdorf,2.0,"Dec 15, 2023",Not recommended,German Language Expert,"Current Employee, more than 3 years",Hyderābād,Good leave policy and no much interference in work,They will keep old employees underpaid
Diebold Nixdorf,1.0,"Jan 1, 2024",None,Field Service Technician,Current Employee,"Newark, NJ",None given for now today,Too little pay for today
Diebold Nixdorf,4.0,"Nov 27, 2023",Good Relationship,Senior Business Analyst,Current Employee,"Dallas, TX","Connections made with others within the organization, time off is great and benefits are ok.",Direction of the company is questionable.
Diebold Nixdorf,3.0,"Nov 29, 2023",Good place to work,Senior Software Engineer,"Former Employee, more than 1 year",Mumbai,Good place to work. Salary as per market standards.,Delay in Appraisals. HR policies should be improved
