Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
HCL Infosystems,5.0,"Aug 4, 2023",Awesome company,Senior Analyst,Current Employee,"Americus, GA",One Can learn a lot.,Learning is time taking process.
HCL Infosystems,1.0,"Jan 26, 2024",This company sucks big time! This is where careers go to die!,Business Partner Associate,"Current Employee, less than 1 year","Boston, MA","I have heard that there is an EEOC investigation into one of the Americas teams manager, ""team leader"" and others for racisim past and present. This is a pro for this company. They have no coherent management in the U.S., are fear based and non empathetic. The tools are old and there is a third world mentality. The U.S. team talks about their brown skinned bosses behind their backs. That is pathetic. Get away from these people.","None. Period. Run away from these people. Some people are praying to retire from here, you won't. They might not make it through next month. No security."
HCL Infosystems,5.0,"Apr 6, 2023",Good company,Talent Acquisition Specialist,Current Employee,"India, TX",Good company for freshers to work,Lot of projects based in usa
HCL Infosystems,1.0,"Apr 9, 2023",The worst situation to be in,Service Desk,"Former Employee, more than 3 years","San Antonio, TX",Nothing good can be said after working for them.,Low pay. Lack of opportunity. Broken systems. Bad management. Extreme lack of communication between USAA and HCL.
HCL Infosystems,3.0,"Mar 17, 2023",Senior Software Engineer,Senior Software Engineer,Former Employee,"Washington, DC",Good env and not much pressure,no growth and no salary increase
HCL Infosystems,3.0,"Nov 2, 2022",Smh,IT Specialist,Current Employee,"Cary, NC","Flexible schedule, work life balance",Switch projects frequently and now have to come to office if not you will be fired
HCL Infosystems,2.0,"Aug 19, 2022",no,Service Desk Analyst,"Current Employee, more than 3 years","Raleigh, NC",there are none really except maybe training available,there are just to many to count
HCL Infosystems,2.0,"Nov 10, 2014","Good for a start, not for a career",Service Desk Shift Lead,"Former Employee, more than 3 years","Research Triangle Park, NC","It's a good place to work if you are just starting out in your career in IT, but don't expect any opportunities to get beyond a call center environment. Just put in your time, get some certs in your free time and move on. HCL does pay higher on health insurance, so your cost per pay period are pretty low for decent coverage. It's a good place to go when the economy is in the toilet because they are almost always hiring.","Don't expect decent pay or a decent pay raise even if you give 110% and get stellar employee reviews. The company cites explosive growth and profit year after year, but you will likely not get a piece of the pie. Barely any recognition for achievements."
HCL Infosystems,4.0,"Aug 11, 2015",Process consultant,Anonymous Employee,Current Employee,,"Good culture, wonderful work life balance, Good pay","limited resources for employees to grow, learn. give training to employees regularly"
HCL Infosystems,5.0,"Jul 3, 2015",Good,Anonymous Employee,Former Employee,,"Good organisation to work with and learn
Positive work environment
balance between work and life","Poor pay master
Less appraisal
recognition and rewards process very poor"
HCL Infosystems,5.0,"Mar 10, 2016",Software Engineer,Anonymous Employee,"Former Employee, more than 1 year","Fairfax, VA",Great atmosphere to work and learn. They are having big projects from all over the world,Increment is very slow here.
HCL Infosystems,4.0,"Sep 24, 2018",Senior System Engineer,Anonymous Employee,Former Employee,,"Great place to work, great management",low Salary than market standard
HCL Infosystems,5.0,"Feb 4, 2020",Really good company,Senior Consultant,Current Employee,,Flexibility and work environment is outstandint,"None tbh, everyone and everything was smooth"
HCL Infosystems,4.0,"Oct 7, 2014",Excellent for entry level sales candidates,Sales Executive,"Former Employee, more than 1 year",,"work life balance, industry knowledge",Bad compensation and benefits packages
HCL Infosystems,4.0,"Jun 26, 2019",GOOD,Software Engineer,"Former Employee, more than 1 year",,"GOOD and exciting , great place to work","Not Bad actually, there are no cons"
HCL Infosystems,4.0,"Oct 5, 2016",Review,Anonymous Employee,Former Employee,,Nice and friendly environment with good bonus,No much room for career growth
HCL Infosystems,4.0,"Jan 13, 2017",Associate SAP Consultant,Anonymous Employee,Former Employee,,Good Work Exposure in every area.,Bad Salary Compensation and benefits
HCL Infosystems,5.0,"Oct 6, 2018",great,Product Marketing Manager,"Current Employee, less than 1 year","New York, NY",i really love it here,nothing really. they are doing good
HCL Infosystems,4.0,"Jun 28, 2015",analyst,Anonymous Employee,Former Employee,,good salary culture time flexibility,management should listen to thier employees
