Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
ShopBack,3.0,"Oct 31, 2021",Low pay,Anonymous Employee,Former Employee,"Seattle, WA","Low pay
Lots of work and and and","People
System
Shopping tips and cashback and and and"
ShopBack,3.0,"Oct 12, 2021",Good and Bad,Anonymous Employee,Former Employee,,"- Multinational
- No seniority (Juniors can voice out)","- Low salary
- No work-life balance"
ShopBack,4.0,"Sep 4, 2023",Not For Everyone (But Excellent For Some),Anonymous Employee,"Current Employee, less than 1 year",Singapore,"- Lots of learning and growth. Plenty of opportunities if you seize them (and earn people's trust along the way) - Fast paced and dynamic culture. Pivot quickly, and implement new things at lightning speed. - Teams of highly talented people. People are highly intelligent and are comfortable with complexity. - Great leadership (esp CEO)","- Some tumult in business outlook, esp with BNPL closure of one market and multiple (and quickly successive) departures of key figures in that business - Lack of work-life balance. Tight deadlines, quick turnarounds, and intense stress to excel. Might not be for everyone's personality and/or current phase of life right now - Lack of diversity in strengths, personalities, and backgrounds. Results in certain traits being self-selecting over time, which can breed very rigid (possibly elitist) thinking over time. - Almost no formal DEI initiatives, and what is being done is mostly for B2C marketing campaigns (e.g. international women's day). Expect very little support as it's not seen as a company priority at all (literally the last thing on the list) - Some toxic personalities in middle management"
ShopBack,1.0,"Feb 1, 2024",Think Twice: A Cautionary Review for Prospective Employees,Software Engineer,"Former Employee, more than 1 year",Singapore,Hybrid working arrangement is the only one I can think of.,"Working at ShopBack is challenging, and unfortunately not in the positive sense. The company suffers from a significant lack of planning, often setting arbitrary deadlines that seem disconnected from project realities. This approach breeds a chaotic work environment where overtime is not just common but explicitly encouraged. The expectation to work nights, weekends, and even holidays is glorified, with the CTO publicly praising such unsustainable practices.

While compensation is average, the expectation to deliver high-quality work under these conditions is unreasonable. Work-life balance is virtually non-existent, as personal time is frequently encroached upon by work demands.

There's a discernible culture that values compliance over competence, where 'yes men' are favored over those who genuinely contribute through hard work. This environment is compounded by a management style that fails to advocate for team members, often leaving them feeling unsupported and undervalued."
ShopBack,4.0,"Feb 15, 2024",Work-Life Balance + Standard Pay,Operations Associate,Current Employee,,"Depending on your role within the company, you can achieve a a happy medium in terms of work-life balance. Nonetheless, the salary offered is decent. Theres a good company culture going on at ShopBack with continuous development opportunities to grow your skills.","* While the company offers AL, Sick Leave, and company stocks to vest - the downside to some of the benefits include no company provided insurance plans. Furthermore, if you travel for your role or have to purchase misc. adhoc items, you have to front the cost upfront and wait to expense the items to be reimbursed."
ShopBack,5.0,"Mar 9, 2024",Intern at ShopBack,Data Analyst Intern,"Current Employee, less than 1 year",Singapore,Good learning environment and room for error given,"Not much as an intern, just a good place to learn"
ShopBack,5.0,"Sep 14, 2023",ShopBack is one of the best companies Ive worked with,Regional Operations Manager,"Former Employee, more than 3 years",Singapore,"1. management shares their visions and progress towards common goals monthly via townhall, with great details, very candid. this helps everyone in the company (now we have 1000+ employees) to know and ask questions via slido 2. Bosses give a lot of freedom to employees to decide what they wanna do. it doesn't stop there, bosses are supportive in terms of giving guidance and will fight for the resources you need (of course you need to prove what you do is impactful) 3. Most people in the companies are quite willing to help each other. No question is dumb, and normally we can ask the same question again and again until we fully understand 4. People here work hard, peer pressure is healthy for most to constantly upskill themselves. a bit stressed short term, but fruitful long term 5. We also play hard. You heard of whole company annual retreat on a Yacht? or flying to Phuket, or have a whole Club (the ones with drinks and music)? ya thats ShopBack","1. processes are still quite manual. means sometimes we need to OT to get things done, while in other more mature companies, it could have been automated 2.should have been more proactive in engaging employees what skills they wanna develop and provide trainings. currently we do have IDP, but many people dont use it"
ShopBack,4.0,"Feb 23, 2024",Meh,Business Development Manager,Former Employee,Singapore,Great work environment with above average talent pool,No product innovation or product road map
ShopBack,3.0,"Mar 1, 2024",Good place to learn,Software Engineer,"Current Employee, more than 1 year",Taipei,"- Can learn new things from difficult challenges 
- competitive salary in TW
- Great colleges and managers","- Too heavy workload and usually work overtime 
- Lack of engineers"
ShopBack,3.0,"Feb 6, 2024","Need overhaul of internal practices, invest in employees",Anonymous,"Former Employee, more than 1 year",Singapore,"- Hybrid arrangement
- Transparent culture, good boss, fun colleagues","- Messy internal practices, last minute deadlines, protocols, SOP, organisational structure is messy, everything is messy
- Portfolios are not clearly defined, not sure who is in charge of certain things, internal politics between leaders that is above my pay grade, certain teams are difficult to work with
- Low salary
- Low morale and confidence among staff, attrition was high at one point in time, more work for the remaining staff"
ShopBack,1.0,"Mar 4, 2024",Not worth it,Collections Specialist,"Former Employee, more than 1 year",Kuala Lumpur,Nothing good to say about the management. All words and no action,"-bad bad management
- no bonus nor increment
- the management is really bad"
ShopBack,4.0,"Jan 10, 2024",Great team,Automation Executive,"Current Employee, more than 3 years",Kuala Lumpur,"This is one of the most flexible teams that I've worked with. As long as you know how to do your work, then you'll be fine.","Since it is an e-commerce company, you'll have to expect the extra workloads. And how e-commerce companies do their best to survive with the current economy."
ShopBack,4.0,"Jan 23, 2024",Good,Anonymous Employee,"Former Employee, more than 1 year",,"Good benefit, opportunities to grow.",Nothing to complain about the company.
ShopBack,3.0,"Feb 9, 2024",Great for interns not for senior hires,Anonymous Employee,"Current Employee, more than 1 year",,"Folks are in general young, smart, and driven.
Fun off sites and company events.","Lack of clear strategy, process and structure. 
Always fire fighting. Lots of tail chasing."
ShopBack,1.0,"Jan 11, 2024",Toxic culture in the name of startup,Software Engineer,"Current Employee, less than 1 year",,Good learning opportunities. Engineers get to use decent laptop,"Hardly any work life balance. Keep saying because it’s startup culture

Director celebrated engineers working overtime discussing things and it was celebrated

2024 theme is WhateverItTakes. Make that what you will 🤷‍♀️ 

CEO very proud that ShopBack didn’t pay mover when moving company back in the day and proud that there are a lot of couples within the company. When spending so much time together working overtime of course that’s bound to happen. Not something to be proud of

“Premium” snacks are chargeable. Cup noodles and potato chips are premium"
ShopBack,5.0,"Jan 10, 2024",Executive Advocate,Account Executive,Current Employee,,It is a Hybrid working environment,Needed extra income for future savings
ShopBack,4.0,"Jan 11, 2024",Good,Ops Manager,"Former Employee, less than 1 year",Kuala Lumpur,Good and lot of snacks lol,maybe upper management need a huge changes
ShopBack,3.0,"Feb 11, 2024",-,Marketing,Former Employee,,work environment flexibility and fun,low pay and lack of career development
