Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
HERE Technologies,5.0,"Jul 31, 2023",Good,Software Engineer,Current Employee,"Chicago, IL",Good team and tech stack,Everything is good in this company
HERE Technologies,5.0,"Feb 26, 2024",Great Place to Work,Professional Services Manager,"Current Employee, less than 1 year","Chicago, IL",HERE has the most helpful and collaborative employees I have ever experienced at any previous company. They truly have a team culture that strives to win together.,Ramp time for new employees can be significant without a GIS or Location Services background.
HERE Technologies,3.0,"Feb 26, 2024","A fine job, but a dead end. ",Field Data Collection Driver II,"Former Employee, more than 8 years","New York, NY","Flexible hours, independence, low stress",Absolutely no path for advancement. Regularly shut down when attempting to apply outside of the team or even just gain visibility and interact across the company.
HERE Technologies,2.0,"Feb 29, 2024",Outsourced IT,Sr Platform Engineer,"Former Employee, more than 3 years","Alpharetta, GA","Before Outsourcing, was a great place.",Leadership will not value you
HERE Technologies,4.0,"Feb 1, 2024",2023 was a good year financially and now we have an inspiring new CEO,Senior Director,"Current Employee, more than 5 years","Chicago, IL","diverse, dedicated, and often passionate people
respectfull work environment
interesting work - Automotive navigation, automated driving, fleet telematics, driver safety","People are spread around the world so the window for talking is more limited
We tend to over complicate things
Sometimes people get passionate about their area of the business -- a product, a service, a messaging campaign -- but might not remember hat everything we do is to serve the customer"
HERE Technologies,5.0,"Feb 5, 2024",Very positive environment and great leadership,Customer Success,"Current Employee, less than 1 year","Chicago, IL","Great benefits, competitive pay, positive team to work with and the people I've met live up to their culture: Be Bold, Be True, Learn Fast, Give Back, Win Together. Management I have interacted with are transparent and are open to different perspectives.",Challenging learning curve. Many complex systems and programs to learn but that is somewhat the norm with SaaS companies.
HERE Technologies,5.0,"Feb 20, 2024",Good company to make a career,Principal Software Engineer,"Current Employee, more than 8 years","Seattle, WA",Work like balance and competitive salary and benefits.,There is room for improvement in management.
HERE Technologies,4.0,"Jan 4, 2024",Job satisfaction is variable,Senior Technical Support Engineer,"Current Employee, more than 3 years",,"Remote and hybrid arrangements. 
Globally run company. 
Working with geospatial data and services that will continue to be in demand.","The satisfaction you get from your job depends on your role and team. Some teams are constantly fire-fighting, others can be quite chill. So a good or bad review on this site should be taken with a grain of salt. That said I'm enjoying working at this company."
HERE Technologies,3.0,"Jan 30, 2024",It was good,Software Engineer(Internship),"Current Employee, less than 1 year","Chicago, IL","My mentor was a seasoned professional, and I learnt a lot from him",huge work from home culture
HERE Technologies,2.0,"Jul 27, 2023",Executives Jumping Ship,Anonymous Employee,"Current Employee, more than 8 years","Chicago, IL",Good work/life balance if you have the right manager Interesting products and projects Nice people to work with,"Constant secret layoffs Lots of executives, including the CEO left the company Wages/promotions frozen; raises poor even when we get them 401k match decreased significantly No career path Timezone issues within teams making it hard to schedule meetings Too many meetings: all hands, townhalls, that are meaningless corporate spin with so many acronyms no one knows what they are talking about Silos cause poor communication between teams Marketing is MIA Branding is confused"
HERE Technologies,4.0,"Jan 9, 2024",A company with a good backbone,Head of Regional Marketing,"Former Employee, more than 10 years","Chicago, IL","Good benefits, opportunity in some roles to travel to interesting places, generally good culture.",Company strategy and execution sometimes lacking.
HERE Technologies,5.0,"Oct 29, 2023",Great place to work!,Sales Operations Manager II,"Current Employee, less than 1 year","Chicago, IL","Super friendly people, good pay, good benefits.","None, that I can think of thus far..."
HERE Technologies,4.0,"Nov 5, 2023",Interesting Products,Software Engineer,Current Employee,"Chicago, IL","Interesting products, good wlb, talented people",Issues with management (CEO just left)
HERE Technologies,3.0,"Feb 14, 2023",Another layoff,Test Engineer,"Current Employee, more than 10 years",Chicago Hts,Life balance Hybrid working. In the office twice a week,Leadership team is STILL looking for ways to grow. We went from Map2020 -2021 nothing. Different platforms and now UniMap. It’s surprising that we are still afloat. We have had so many layoffs it ridiculously. Management seems to only care about our European colleagues. USA had 1500 employees now 500.
HERE Technologies,5.0,"Oct 20, 2023","great culture, and benefits",Anonymous Employee,"Former Employee, more than 8 years",,"great culture, benefits, people, flexible time off",no cons come to mind
HERE Technologies,3.0,"Oct 3, 2023",Good people in difficult environment,Director Sales Operations,"Former Employee, more than 5 years","Chicago, IL",Good people and culture. Many opportunities to contribute.,Resource constraints in back-office systems and processes.
HERE Technologies,4.0,"Oct 4, 2023",mediocre company,Data Scientist,Former Employee,"Chicago, IL",depends on the team you work for,"weird company directions, ceo has changed multiple times within last dacade"
HERE Technologies,1.0,"Oct 25, 2023",Doomed,Regional Sales Director,"Former Employee, more than 3 years",,Learn what not to do when pressed with change.,"Unwilling to change, clinging to old technology."
HERE Technologies,4.0,"Sep 24, 2023",Nice to work,Customer Success Manager,Current Employee,"Chicago, IL",Technology learning and improvement is hood,Leadership and goals keep changing
HERE Technologies,4.0,"Sep 5, 2023",Good working and learning environment,Data Scientist,"Current Employee, more than 1 year","Chicago, IL",You have time and chance to improvise.,Affected by the headwind of the technology layoff
HERE Technologies,5.0,"Aug 29, 2022",Fantastic Culture & People,Partner Marketing Lead,"Current Employee, less than 1 year","Chicago, IL","During my tenure at HERE I've found the culture to be exactly what I was looking for and couldn't be happier. With open communication and a collaborative environment, leadership provides strong direction, while getting to know you as an individual. They help foster your development goals while ensuring you exceed your objectives. Team members are supportive and understanding as you get up-to-speed learning the organization and the industry. Tons of flexibility too, while they encourage work/life balance. 

Additional benefits:
- Department Executives want to hear from team members as recurring skip-level conversations take place throughout the year.
- Summer Hours - Work some extra time Mon - Thurs and get Friday afternoons off!
- Opportunity to work anywhere in the world on a temporary basis, I believe the time limit is 30 days.
- Sabbatical opportunity after a certain duration with the company.","The organization has gone through many changes so you have to be flexible and adaptable as all of the processes may not be well defined. You also need to be prepared that there are personal changes due to the ""great resignation"", as well as reorganizations. If you aren't open to taking early morning or late night calls, this global environment may not be for you. I've found that the team really works together to understand and address these challenges head-on and what's needed to accomplish the objectives."
HERE Technologies,4.0,"Aug 31, 2023",Nice place,Database Administrator,Former Employee,"Chicago, IL",Good place to work. Went through some transition when I left.,Work force was going through changes.
HERE Technologies,1.0,"Sep 15, 2023",Ok ok ok,Analyst,Current Employee,"Hereford, TX",There is here and there is here,Ok do well and go home
