Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
World Wide Technology,5.0,"Jan 12, 2024",INCREDIBLE COMPANY,Project Manager,"Current Employee, more than 3 years","California, MD","Fantastic Leadership
Work life balance
Amazing benefits",None that I can think of
World Wide Technology,5.0,"Mar 7, 2024",Amazing place to grow,Supervisor,"Current Employee, more than 5 years","Maryland Heights, MO","Amazing benefits
Logistics Departments flow well together
Lab departments flow well together",Logistics to Lab Departments frequently but heads
World Wide Technology,1.0,"Feb 29, 2024",Getting worse by the day at NAIC1,Production Technician II,"Current Employee, more than 3 years",,The people below leadership level are amazing.,"It's become just like any other warehouse job. Underpaid and overworked. They give you inadequate support and resources to do your job and you will have to improvise most of the time. This is highly technical work which you are expected to execute perfectly, but with little to no support. Managers will only promote their friends and family instead of people who are actually qualified. Leadership sits at their desks all day long and refuses to actually help. None of them could even help if they wanted because they all were hired from outside the company and don't know how to do anything job related. Favoritism is the foundation of leadership at NAIC1. They ship people they don't like to other buildings with at most 2 days' notice, so be prepared to adjust your childcare and educational schedule in the blink of an eye.

They police the floor and micromanage everyone out of the door. All of the tenured and talented employees have either quit or on the way out. The project manager is clueless and only comes around when it's time to complain about something. The last time I saw him, he walked around the floor upset that people weren't paying attention to him and we all got reprimanded for it.

We used to be treated like actual human beings. We are now treated like robots. Just parts of the dying machine. If you work here, just remember, you are replaceable and you mean nothing to this company."
World Wide Technology,5.0,"Mar 4, 2024","Great company, growing rapidly",Sr. Director,"Current Employee, more than 5 years","Saint Louis, MO","The people at WWT all care about the company's overall success. There are some talented and intelligent technical resources, as well as competent and experienced sales teams that operate with integrity and a desire to help customers succeed. The pay is good, it is privately held so no stock awards, but they make up for it with great benefits.","Growing rapidly with silos from that expansion. 
Heavily rely on partners to support marketing and brand awareness, and miss out on opportunities to share more publically about what all WWT does and is good at."
World Wide Technology,4.0,"Feb 26, 2024",Great benefits,Order Manager,"Former Employee, more than 1 year","Saint Louis, MO","Healthcare, LOA and PTO benefits offered by WWT are outstanding. They are working to provide better training to new employees. They genuinely care about their employees.","The company is growing so quickly, they don't have enough processes documented. Which means for some positions, people's work shows inconsistent quality. With a lack of processes, it can be difficult for a new person to learn."
World Wide Technology,2.0,"Jan 15, 2024",All talk,Forklift Operator,"Former Employee, more than 5 years","Edwardsville, IL","My paycheck was always correct.
They offer adequate PTO. 
Education reimbursement.
They offer every program available for free on Udemy.","Their pay is absolutely far to low for the level of knowledge they expect you to aquire and utilize. They say that the benefits they offer make up the difference. I have looked into that statement, it really doesn't put them anywhere close to the pay every other warehouse is offering. I made less than $18/hr after 5 years of employment. They also preach about how there are possibilities everywhere for growth. Unfortunately, I've only ever seen people who were connected to individuals with pull get any job that can be considered an upgrade."
World Wide Technology,5.0,"Mar 7, 2024",Good overall,Sr Systems Engineer,"Current Employee, more than 5 years","Saint Louis, MO",Great People to work with,"Career movement, can get stuck in your silo"
World Wide Technology,4.0,"Feb 29, 2024",Great culture,Consultant,Current Employee,"New York, NY","Good culture, good pay, great work-life balance",Projects aren't as exciting as other strategy consulting firms. They are heavy on the tech implementation side.
World Wide Technology,5.0,"Feb 19, 2024",8/10,Senior Order Manager,"Current Employee, more than 5 years","Maryland Heights, MO",good leadership. good work life balance,"pay is based on personality, not skill or contribution level."
World Wide Technology,1.0,"Feb 26, 2024",Core values don't apply to equally,Software Engineer,"Former Employee, more than 8 years",,"Very generous health benefits, Great people",Executive team not honest with themselves or their people. Little to no diversity at the executive and Sr. leadership level
World Wide Technology,5.0,"Feb 21, 2024",Great place to work!,Sales BDM,"Current Employee, more than 10 years","Saint Louis, MO","Great culture, innovative work, and clear leadership direction.",Salaries as you are promoted within do not always match market.
World Wide Technology,1.0,"Feb 13, 2024",Not actually a great place to work,Senior Software Engineer,"Former Employee, more than 5 years",,"Good Healthcare, but they'll make sure to mention that they pay a lot for it every open-enrollment","Poor raises. 

Poor bonuses.

Silent Layoffs two years in a row.

Cult-like mentality amongst both company leaders and lower org leaders. 

They claim to be a tech company but don't have the stomach to ""do whatever it takes"" to succeed in being a great place to work.

More interested in penny-pinching what they pay their people (and what country they hire from) than actually winning customers on quality and innovation.

They harp on innovation but don't actually have the appetite to support innovative work within the company."
World Wide Technology,5.0,"Feb 8, 2024",Wonderful company,Managing Consultant,"Current Employee, less than 1 year","New York, NY","Company has excellent culture, takes care of employees, profit sharing , excellent benefits",Can’t think of any at this time
World Wide Technology,5.0,"Jan 17, 2024",Wonderful company,Customer Success Manager (CSM),"Current Employee, more than 8 years","Saint Louis, MO",The culture at WWT cannot be beat. I would not want to work anywhere else. I love the people on our team and am given flexibility and direction.,"Our team is growing and changing every day, which can lead to ambiguity in the role. There aren't many cons but I would say that it is sometimes challenging to find an answer. You have to be self-motivated and unafraid to dig to discover an answer or resolution."
World Wide Technology,2.0,"Feb 8, 2024",DEI and favoritism is a bad mix!,Technical Architect,"Current Employee, more than 5 years",,Great pay! Great benefits! Great work life balance. Opportunities to learn new technologies.,"Way too much favoritism! WWT leadership talks a big game of DEI, but you're only inclusive if you are part of the upper mgmt good Ole boy system. Some get promos and notoriety while others do not. Advancement is something reserved for workers in their favor. Also discrimination runs rampant. You can be discredited and blackballed for being sick. Highly illegal!!"
World Wide Technology,5.0,"Jan 31, 2024",Lots of Growth and Opportunity,Engineering Manager,"Current Employee, more than 5 years","Saint Louis, MO","Exciting opportunities, great customers and innovative partner ecosystem. Exec and leadership commitment to values, culture and engagement is off the charts good.",Amazing growth creates some challenges and confusion on ownership and consistency across different teams.
World Wide Technology,3.0,"Mar 5, 2024",Salary,Sr Project Manager,"Former Employee, more than 1 year","Oklahoma City, OK",Company provides a competitive salary,There is very little work/life balance.
World Wide Technology,5.0,"Feb 8, 2024",Clear direction and engagement from the top down,Consulting Systems Engineer,"Current Employee, more than 3 years","Washington, DC","Pay, culture, benefits, inclusion, leadership",I can’t find a single negative to say about working at WWT
World Wide Technology,4.0,"Sep 6, 2023","Good, But Could Be Better",Anonymous Employee,"Current Employee, more than 8 years","Saint Louis, MO",Great capabilities to offer customers. Great people throughout WWT. Great benefits Great facilities,"The executive team tends to be insular and difficult to crack into for those outside of STL and the various familial/friendship ties. Titles and promotions are inconsistently applied in the organization. Too many silos internally; WWT is getting too big to let various groups do whatever they want and politics are much worse today than years ago when I joined. Pay is low relative to peers. Travel restrictions. Diversity initiatives, while well intentioned aren't working well. Too many undeserved promotions; promoting based on diverse gender/race is no better than doing the same for someone part of the majority. Promote based on performance."
World Wide Technology,5.0,"Feb 1, 2024",Pretty good,Production Specialist,Current Employee,,good work environment with decent pay and great benefits,Culture and my building has steadily declined over the years lack of transparency from upper management.
World Wide Technology,5.0,"Feb 8, 2024",Amazing to work,Client Manager,"Current Employee, less than 1 year","Utahn, UT","Great culture, amazing services, customer focused",Challenging market landscape with budgets being cut and competition growing
World Wide Technology,4.0,"Feb 7, 2024",Good work life balance,Senior Consultant,Current Employee,"New York, NY","Good work life balance. Great culture, great team",Lack of pay range transparency
