Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Nutanix,5.0,"Mar 2, 2024",Amazing Company,Systems Reliability Engineer,"Current Employee, more than 1 year","Durham, NC","Benefits, team work, and amazing skill development","High stress due to work requirements, above normal requirement of work output."
Nutanix,3.0,"Feb 29, 2024",Forget WLB,Member Of Technical Staff,Former Employee,"San Jose, CA",Very smart engineers and interesting work to be done,Work life balance is awful with projects having a very short lifetime.
Nutanix,4.0,"Feb 23, 2024",Eat your own dog food...,Information Security Director,"Former Employee, more than 3 years","San Jose, CA","- Culture
- Salary
- Flexible schedule
- Encouraged to get hands-on experience with products and services and to provide feedback.",- Challenges between product and corporate groups
Nutanix,3.0,"Feb 22, 2024","Very technical, learned a lot",Commercial Account Manager,"Former Employee, more than 1 year","Los Angeles, CA","Learned so much, because this is a disrupter in the space. Makes you get scrappy with deals.",Leadership is all over the map. Don’t believe in the vision anymore.
Nutanix,5.0,"Feb 22, 2024",Great Company to work for,Sr SRE,"Current Employee, more than 5 years","Durham, NC",Company culture and almost everyone is a team player looking out for others and help out when needed.,Nothing I could think of
Nutanix,4.0,"Feb 24, 2024",Great People,Anonymous Employee,Current Employee,,Some of the best people I’ve ever worked with,The marketing focus is constantly changing
Nutanix,2.0,"Feb 18, 2024",Not good,Enterprise Account Executive,"Current Employee, more than 1 year","Penn Hills, PA",We have Great products to sell.,Culture is terrible. It’s painful to work here.
Nutanix,4.0,"Jan 12, 2024",Life at Nutanix,Manager,"Current Employee, more than 3 years","San Jose, CA","1) Great benefits (though the company seems to be scaling back here to help us towards profitability)
2) Excellent teammates for the most part
3) Stable company with opportunities to contribute in ways that often don't exist at other companies our size","1) Limited professional development if you're not a manager
2) Company seems to be investing less in promotions and cost of living comp adjustments for employees means people are leaving/looking to leave
3) Leadership lacks charisma and at times seems out of touch"
Nutanix,4.0,"Feb 12, 2024",Good place to work,Pre Sales Systems Engineer,Current Employee,"Columbus, OH",Nutanix is a good place to work. People are very willing to help.,"Same time consuming ""tasks"" that happens everywhere."
Nutanix,4.0,"Feb 12, 2024",N/a,Member Of Technical Staff,Former Employee,"San Jose, CA",Good salary. Good managers. Good company,Work life balance can be improved
Nutanix,5.0,"Feb 7, 2024",great place to work,MTS3 Software Engineer,Former Employee,"California City, CA","culture, people and tech focus,",Cant think of any apart from volatile stock
Nutanix,4.0,"Feb 5, 2024",good place to work,Director,Current Employee,"San Jose, CA","benefits are good
good leadership","No bonus until Sr Director
very heavy middle layer"
Nutanix,1.0,"Dec 14, 2023",Work here if you want to get screwed out of our pay,Sales,"Former Employee, more than 1 year",,"Met some really nice folks, but that has 0 to do with Nutanix","Sales goals moved constantly, compensation plans not adhered to and will get rid of you before you collect that big windfall you worked hard for. Sham product, Sham leadership. Can we tell the customers about the scale problems? Or cyber issues? Cannot WAIT for the IG investigations coming. And for the love of GOD, don't EVER consider an International assignment. I know someone who just came back writing a tell all about how Nutanix is just a bad company to work for and bad equipment to own. I hope Cisco buys them and kills the product."
Nutanix,4.0,"Jan 29, 2024",Nice Work Place,Anonymous Employee,Former Employee,,"Nice office environment, opportunity for growth",Leadership only favored who they liked
Nutanix,1.0,"Nov 3, 2023","Unethical and Autocratic Management, Compensation Cuts",Software Engineer,"Current Employee, more than 5 years",,"As usually the case, there is a standard of good people and technology here.","Unsuspecting candidates are lured into working here under the pretense that benefits are better than industry standards, then unceremoniously reduce them and inadequately adjust compensation. Management then attempts to hide this through censorship, removing VERY popular Slack channels and replacing with moderated ones. Worse is senior management are so out of touch they think employees won't figure this out. Company has a LONG way to go to be considered truly enterprise class. Recent decisions and moves have brought into question their competence to get us there. Company isn't profitable and management can't figure out why. Management lack of business acumen taken out on workforce."
Nutanix,5.0,"Nov 3, 2023",Support is a well run organization,Global Support Manager,"Current Employee, more than 3 years","Durham, NC",Benefits are fantastic. They are adding 401k match in Jan. Management moves fast on internal support changes. Iteration is the norm. Upper managerment seems to have our backs and Support Managers are a team with little politics. Ample opportunity for training,"Premiums are being added for healthcare, but still 100% covered for employee."
Nutanix,5.0,"Dec 23, 2023",Excellent Team Cilture,Customer Marketing Specialist,"Current Employee, less than 1 year","San Jose, CA","Worked remotely for the Custimer Marketing team - had positive experiences in terms of compensation, work quality, life/work balance, and team culture.",I was a FT contractor and wasn’t given a clear contract to hire progression outline
Nutanix,5.0,"Jan 5, 2024",Good company,Internship,"Former Employee, less than 1 year","Washington, DC",Great culture for growth and gaining experience,"Felt that a particular team member was singling me out, reported to manager and he didn't do anything about it"
Nutanix,5.0,"Jan 15, 2024",EA ,Executive Assistant,Former Employee,"San Jose, CA",They offered a flexible work life balance.,I have none to report
