Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Tech Data,5.0,"Jan 12, 2024",NA,Data Entry,Former Employee,,Great pay glad about my salary requirements,Short staffed at times needs more staff
Tech Data,4.0,"Jan 10, 2024",Review ,Sales Associate,Former Employee,"Tempe, AZ",Apart of a team working together,Not paid adequately for job
Tech Data,5.0,"Dec 31, 2023",Was a great job,Assembler I,"Former Employee, more than 1 year","Chandler, AZ","Easy work, relaxed, quick to pick up",Hr is kind of slow to respond
Tech Data,3.0,"Jan 22, 2024",First Corporate Job ,Accountant 1,Former Employee,"Clearwater, FL","It was a good work experience, and the people were pleasant",Low pay and a lack of directives with random mass layoff.
Tech Data,1.0,"Jun 12, 2023",Bigger is not better for employees!,"Senior Director Credit, Collections and AR","Current Employee, more than 8 years","Clearwater, FL",Company was a better place to work pre-merger. Good place to start for people with no experience or no formal education. Stay 2 to 3 years max then move on.,"Benefits are average and pay is subpar compared to industry standards. The CEO, Rich Hume, is aloof and condescending. He speaks in lofty platitudes along with the rest of the Executive Management team. Executive Management is highly reactive, not proactive. They equivocate on every topic to the point of being pathologically deceitful. The SVP of Credit & Collections, Jay Snyder, is an uncouth rustic individual that runs his division like a medieval fiefdom. He manages and controls everything including the smallest details that should be delegated to lower management. It’s very strange to see an intolerant individual like this in an organization that prides itself in diversity and inclusion. Also, top sales producers are negatively impacted by TD Synnex changing its sales commission structure making it more difficult for sales to meet goals. Eddie Franklin, SVP Sales, had nothing to say about this cut in pay! Less pay for employees and more profits for the Executive team, Board of Directors, and shareholders."
Tech Data,3.0,"Jan 22, 2024",Improvement Opportunities ,Quality Auditor,"Former Employee, more than 10 years","Fontana, CA",Able to learn different departments.,Management offers promotions based on favoritism.
Tech Data,1.0,"Jan 18, 2024",Analyst,Credit Analyst,"Former Employee, more than 3 years","Tampa, FL",Exposure to many different clients,Work life balance and benefits
Tech Data,2.0,"May 22, 2023","Great job, terrible company!",Field Engineer II,"Current Employee, more than 10 years","Phoenix, AZ","The customers and the work you perform are great! Hundreds of different types of equipment to work on, changing all the time. Mostly PoS and small electronics repairs, plus some light I.T. work, particularly in Datacenters, Outstanding local and regional team eager to help you in any way! Lots of overnight work and travel which means more $$.","The company itself is laughably disorganized. The change their name and ""reset"" your employment status every few months. No one above your field manager can be contacted for any reason; and no one even knows HOW to reach them. It is a logistical nightmare, as much of your mundane tasks normally performed electronically have to be done by pen and paper, and mailed in (no exaggeration!) It takes them almost 2 years just to send you an employee badge; and by then it's no good because they'd already changed their name 3+ times! To add to the confusion, they are subcontracted by other organizations, so each WO assigned to you requires that you ""pretend"" that you are working for another company. This requires constant lying to their costumers, and it's basically unavoidable."
Tech Data,4.0,"Oct 19, 2023",Remarketed channel,Sales,"Former Employee, more than 3 years","Suwanee, GA","Dynamic, fun environment, great culture",Ultimately the business was not sustainable.
Tech Data,4.0,"Oct 10, 2023",good,IT Manager,Former Employee,,good company to work for,Salary pay is less and more workload
