Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Samsung SDS,5.0,"Jun 27, 2023",..,Account Mangers,Former Employee,"Italy Hill, NY",Caring managers and good salaries,No cons as i know
Samsung SDS,1.0,"Mar 11, 2024",opportunities,Senior Logistics Business Manager,Former Employee,"Miami, FL",great company name to work for,lack of opportunities for locals
Samsung SDS,2.0,"Feb 8, 2024",Sycophant culture,Manager,"Former Employee, more than 1 year","San Jose, CA","Good benefits. All medical premiums were subsidized by the company, and I don't recall having to pay a deductible","Sycophants rise up the ranks pretty quickly. There are a couple earnest and humble people in senior management, but I have seen very unqualified people in senior positions who basically smooth-talked their way to their inflated title without any real work (or they take credit for other peoples' work)"
Samsung SDS,2.0,"Jan 9, 2024",Low pay and limited direction from management,Sr. Engineer,Current Employee,"Ridgefield Park, NJ","decent work life balance, global brand","Pay is exceptionally low for tech roles and across the company, management is hampered by HQ in Korea, long term strategy gets nixed every few years due to reorg, no career growth, annual reviews are graded on a curve so be prepared to hear you did amazing year after year but that your manager can only give a limited number of good reviews so your bonus pay is nil. Poor benefits to comparable companies. Non-native Koreans are treated poorly."
Samsung SDS,3.0,"Feb 17, 2024",Not a global company,Vice President,"Current Employee, more than 8 years","New York, NY",Good pay and work life balance,Focused on Samsung business and very expat oriented
Samsung SDS,4.0,"Feb 15, 2024",Not Bad,Logistics Coordinator,Former Employee,"Santa Fe Springs, Los Angeles, CA","Benefits are good, location is good",Salary is not that great
Samsung SDS,3.0,"Feb 1, 2024",Good place to work.,Anonymous Employee,"Former Employee, more than 1 year","San Jose, CA","Working here offers the exciting opportunity to engage with cutting-edge technologies, fostering significant professional growth in a dynamic and innovative environment.","Due to the fast-paced and highly competitive environment, work-life balance can sometimes be challenging to maintain."
Samsung SDS,4.0,"Feb 1, 2024",good company,Logistics Coordinator,Former Employee,"Ridgefield Park, NJ",job security and good benefits,long working hours makes hard for work life balance
Samsung SDS,1.0,"Feb 12, 2024",Poor.,Senior IT Specialist,"Former Employee, more than 10 years",,There is nothing I can list that is a Pro.,So many cons to list.
Samsung SDS,4.0,"Jan 17, 2024",Good enough,Senior Professional Staff I,"Current Employee, more than 1 year","Ridgefield Park, Bergen, NJ",Work and life balance is better than expected.,The circumstance of business situation is not so great.
Samsung SDS,4.0,"Dec 18, 2023",good,Financial Analyst,"Current Employee, more than 1 year","Plano, TX",good pay and good benefits,too korean culture and requires overtime
Samsung SDS,1.0,"Dec 11, 2023",Do not work here if you feel valued,Transportation Operator,Former Employee,"Plano, TX",Good pay and PTO accrued.,"Horrible environment, constant overtime that was not needed, and many issues with the system used that prevents you from doing your daily tasks."
Samsung SDS,4.0,"Jun 28, 2023",Mixed Feelings,Senior Sales Engineer,"Former Employee, more than 3 years","Ridgefield, NJ","The People at Samsung SDS where great, I really enjoyed everyone I worked with. I feel like they are trying to achieve great things, My department was sort of an outlier/experiment that was had a difficult goal. The things that SDS is good at they are really good at.","Like I said in my Pro's they are really good at what they are good at, while my department had some great successes we where not consistent and we where constantly chasing something taht wasn't there."
Samsung SDS,3.0,"Sep 24, 2023",A good company to work for without high expectations.,Senior IT Manager,Former Employee,"San Diego, CA",Job Secure : This company rarely fires employees.,A company that falls short for building a career with a long-term perspective
Samsung SDS,2.0,"Aug 8, 2023",not dependable,Site Manager,"Former Employee, less than 1 year","Linden, NJ",great company to work for,"not dependable no room for flexibility and to use your own ideas. Have to stick to their game plan and not to divert or you'll be shamed no diversity - if you arent Korean, you wont land a top position"
Samsung SDS,3.0,"Sep 28, 2023",team culture,Billing Specialist,"Former Employee, more than 3 years","San Diego, CA",there are a lot of collaboration across different teams.,a typical korean style culture.
Samsung SDS,4.0,"Sep 22, 2023",good company,TPM Manager,Former Employee,,"brand name, work pressure decent","korean culture , which can get troublesome at time"
Samsung SDS,3.0,"Jul 9, 2023",Not the best,Director,"Current Employee, more than 8 years","Newark, NJ","benefits are great, vacation policy is also good.","Bonus is poor, salary is not that competitive. ALL Korean management. They will not support employees."
Samsung SDS,2.0,"Mar 15, 2023",It really depends who the leader is,Director,"Former Employee, more than 1 year","Ridgefield Park, NJ","Stable company, steady revenue streams, opportunity to get exposure to Korean culture and style of management.","There is a shadow Korean org, of people you don't know that matter more than your boss. There are a lot of things that get done or not get done because of the Korean inner-politics that aren't transparent to you. In some extreme cases, the behavior of the some of them when dealing with US businesses is rude and can even be categorized as ""crazy"", which might be driving you outside of the company to protect your own personal reputation."
Samsung SDS,4.0,"Jul 20, 2023",Great place to work,Tech Support,"Current Employee, more than 5 years","San Jose, CA","Great benefits, Competitive salary, Team synergy",Hard to move upward within company.
Samsung SDS,5.0,"Jun 25, 2023",Can be stressful but rewarding,Forklift Operator Team Lead,Current Employee,,Great co-workers Great environment Management takes my opinion into serious consideration Management is great,Stressful at times No heat or air condition
Samsung SDS,3.0,"Jun 20, 2023",Competitive Environment,Anonymous Employee,Former Employee,,Nice to work for a high-tech company,"Very demanding, also cut our bonus structure yearly"
Samsung SDS,4.0,"May 8, 2023",Great Pay & Benefits,Ocean Import Specialist,"Current Employee, less than 1 year","Plano, TX","hybrid schedule if ask, overtime opportunities available","minimum training, company expects you to be an expert in the position you're hired for"
Samsung SDS,2.0,"Mar 29, 2023",Proceed with caution.,Strategic Account Manager,"Former Employee, more than 1 year",,Great Benefits and great pay.,Run unless you are Korean. They bass everything off what happening in Korea. This is America and need to have a seperate US Culture. Therefore unless you are Korean I would not recommend this company as there will be no career advancement.
Samsung SDS,5.0,"Apr 24, 2023",Wonderful place to work!,Anonymous Employee,"Current Employee, more than 1 year","Greenville, SC","Strong team atmosphere, great benefits, 100% remote work, great place to grow.",I haven't found any real cons to working here. It's a great place to be!
Samsung SDS,3.0,"Mar 21, 2023",Could be better,IT Asset Manager,"Current Employee, more than 5 years","Plano, TX",Coworkers are state of the art. can learn a lot from each other and expend career,can be more disciplined and automated.
Samsung SDS,5.0,"Mar 10, 2023",Logistics professional,Logistics billing staff,"Current Employee, more than 1 year","Plano, TX",-Good for learn and experience how big company manage business -Experience how to report clearly -Good benefit,-Unnecessary Report every day -excessive micro management
Samsung SDS,1.0,"Apr 30, 2023",Bad culture,Computer Programmer,Former Employee,"Ridgefield, NJ",Bad company culture Too much work Last minute changes,Benefits It's all Nothing else
Samsung SDS,4.0,"Mar 7, 2023",samsung,Software Engineer,Current Employee,"Newark, NJ",Good team to work with.,low salary and team change fluently
Samsung SDS,4.0,"Feb 1, 2023",Clamp Operator,Clamp Operator,Former Employee,"Coppell, TX","Easy Work, real laid-back work by yourself most of the day.",Slows down around holidays. People are serious about their lifts.
Samsung SDS,3.0,"May 2, 2022",Management - Lack of Awareness,Anonymous Employee,Former Employee,,"Hybrid working, ok work laptop, nice office with plenty of parking","First off this company is not Samsung, but a subsidiary. Anyways, there are a lack of boundaries especially if you are of Korean descent. Management has a need to flex and harass you over every little mistake no matter how small, which naturally leads to a slow burn of resentment. Ineffective ways of doing things are taught and a culture of blaming and shaming is always around the corner. It's hard to get anything done, since a manager or department head is ready to call or jump in on messenger to lecture you about the ""proper"" ways of doing things here (even if you have followed the rules and you are trying to fix the problem and help those in the company who have generally been ignored)."
Samsung SDS,5.0,"Feb 7, 2023",Logistics,Anonymous Employee,Current Employee,,A lot of Growing opportunities,I can’t think of any cons
Samsung SDS,4.0,"Jan 27, 2023",Good company,E-Commerce Merchandiser,"Current Employee, less than 1 year","New York, NY",Good benefit Working hours Staff discount,"No cons at all, just lots of OT"
Samsung SDS,5.0,"Jan 2, 2023",Good Workplace,Billing Analyst,"Former Employee, more than 1 year","San Diego, CA","Relax working environment, friendly coworkers","over time some times, but reasonable"
Samsung SDS,4.0,"Dec 21, 2022",It's good to become a software engineer,Software Engineer,"Current Employee, more than 8 years",,It's good to become a software engineer,The vision of the company sucks
Samsung SDS,1.0,"Feb 11, 2023",GreatTeam but only koreans are favorate,Administration,"Current Employee, more than 8 years",,great name and learning about global companies,favoritism only to koreans nationals
Samsung SDS,3.0,"Jan 24, 2022","Good Benefit, no life other than work life.",Engineer,Former Employee,,"Health benefit, location, free coffee, discounted snack bar.","No personal work life balance. Not an enterprise or big tech company (run like mom and pop). No advancement in career, nor on your knowledge.
If you are starting your career, you need a big company name on your resume, it will be alright, things you learn from the company won't be useful anywhere else. If you are a seasoned engineer, stay away, unless you just want a job with decent pay and if you don't have a personal life, it might work out for you too. Good old boys' system, they have a tendency of overworking Korean speaking employees, if you are not, you will be fine, just do your job and don't speak up, you will have a job. They validate my firm belief in competency breed incompetence, and this company is prime example of it. You will end up doing someone else's job and you won't even be recognized for it.

Good Luck"
Samsung SDS,4.0,"Sep 26, 2022",Samsung SDS,Senior Engineer,Current Employee,,"- clean building
- make employees to study more  
- 2 year maternity leave possible","- hard to change the department 
- there is still a lot old seniors prefer legacy style"
Samsung SDS,3.0,"Oct 10, 2022",Can experience a variety of jobs,Anonymous Employee,Current Employee,"Edison, NJ",Can experience a variety of jobs Experience the Korean work environment,You can start with a low salary. You can expect a lot of work compared to other companies.
Samsung SDS,2.0,"Nov 2, 2022",Good benefits,Senior Engineer,Former Employee,,Good benefits. The restaurant for employees is really good.,Nothing special. But what is their strength? I don't know..
Samsung SDS,2.0,"Jul 15, 2022",If you have other options… take them,Anonymous Employee,Current Employee,,Stable job with a globally recognized brand. Good healthcare.,Pay is bottom tier for a tech company. Rampant discrimination if not Korean. Curved assessment so that if you’re in a team of high performers or a small team the junior persons always get the short end of the stick even if undeserved. Promotion based on seniority.
Samsung SDS,5.0,"Nov 16, 2022",Doorman,Anonymous Employee,Current Employee,"East Grand Ra, MI",It’s a very nice environment.,The people can be rude.
Samsung SDS,4.0,"Jul 7, 2022",Great work opportunity,Logistics Manager,Current Employee,,"If you have passion to change something you can try in this work. Even if there are hundreds of restrictions of big company like red security, culture, etc But I believe that at this company always someone are looking at you to help you forward and encourage you if you are really great person for the job. Anywhere is same.","Education, External Event participation, Bonus"
Samsung SDS,4.0,"Oct 1, 2022",Good to learn how to work well,IT SYstem Administrator,Former Employee,,benefit is very good for employee.,"culture, politics, too much work"
Samsung SDS,1.0,"Jun 30, 2022",Not good for continued growth,Recruiter,"Former Employee, more than 1 year",,"Not many Pros to share.
Benefits: Minimal, cheap healthcare but besides that they don’t have any other offerings.","Poor management, leaders give you lots of work and then take credit for all the work. Toxic behaviors from management is overlooked. Diversity, Equity and Inclusion isn’t even discussed here - no programs in place at all.
Career growth is minimal."
Samsung SDS,5.0,"Sep 26, 2022",Good,Anonymous Employee,"Current Employee, more than 1 year",,high pay jay look word,bad good negative France pancake
Samsung SDS,4.0,"Aug 18, 2022",Good company,Billing Professional,Current Employee,,"Overtime availability, Ability to learn about logistis","Not too many WFH condition, although WFH isfeasible"
Samsung SDS,4.0,"Mar 30, 2022",Happy Work Place - Low Pay,Executive Assistant,"Former Employee, more than 3 years","Burlington, MA","People are hard working and collaborative. They push you to succeed and you want to help your co-workers. Welcoming atmosphere. Maybe it’s me, but I everyone was nice","Pay is meh. I left for more money - if the pay was better, I would have stayed."
Samsung SDS,3.0,"Aug 22, 2022",Company Review,Employee,"Current Employee, more than 1 year",,Good coworkers. they are nice,upper mangement could be hard to convince
Samsung SDS,3.0,"Aug 11, 2022",management,Billing Specialist,"Former Employee, more than 1 year",,"good insurance benefit, good location","old-fashion asian management style, lack of innovation and motivation"
Samsung SDS,1.0,"Sep 2, 2022",Working at a Korean Company,Systems Administrator,Former Employee,,The only pro I can think of is the benefits are good,If you are not of Korean descent do not expect to move up in the organization
Samsung SDS,2.0,"Jul 13, 2022",Don't work here.,Vice President,"Current Employee, more than 3 years",,Stable large employer with well known brand.,Low salaries. Little transparency. Arbitrary decisions. Curved assessment. No RSUs. No job control.
Samsung SDS,4.0,"Jul 5, 2022",Decent job,Systems Administrator,"Current Employee, more than 5 years","Ridgefield, NJ","Lots of things to learn from very experienced managers
Friendly colleagues","Upward mobility is capped
Mediocre salary"
Samsung SDS,2.0,"May 31, 2022",typical Korean company,Anonymous Employee,"Former Employee, more than 5 years","Dallas, TX","great benefit (medical/vision insurance, 401K etc.) 
remote working mandatory","no concerns for employees' work life balance
too much overtime work"
Samsung SDS,3.0,"Jun 27, 2022",Another day in someone's paradise,Warehouse Operations Supervisor,"Current Employee, more than 3 years","Jonestown, PA",Benefits and PTO are excellent,Lack of communication from upper management
Samsung SDS,1.0,"Mar 17, 2022",Toxic work culture with no work life balance,Logistics Operator,"Current Employee, more than 1 year","Plano, TX","The name ""Samsung"" can help you move to a new job elsewhere.","The work load here at Samsung sds is absurdly heavy, and management is very poor and toxic, no respect to the employees' time and well being whatsoever. Pay is very low and bonus & raise is almost nothing. They favor Korean workers since they are willing to work more and tend to stay longer."
Samsung SDS,5.0,"May 5, 2022",There are many business experiences and opportunities for capacity building.,IT Manager,Current Employee,,many business experiences and opportunities for capacity building.,Staffing and replacement are required.
Samsung SDS,4.0,"May 28, 2022",Worked There,Tech Support Engineer,"Current Employee, more than 8 years","San Jose, CA","Good team, and challenging work",there was no holiday party
Samsung SDS,4.0,"Mar 14, 2022",Good team,Direct Ship Operations,"Former Employee, more than 1 year","Plano, TX",It was a great learning opportunity and the team I worked with was fun and they taught me a lot.,"Contract
Less chance to get into the company"
Samsung SDS,5.0,"Apr 10, 2022",Consultant,Consultant,"Current Employee, more than 1 year",,Big opportunity to learn various fields& lead my career path strong,It may require a lot of overtime due to heavy workloads.
Samsung SDS,4.0,"Mar 19, 2022",IT helpdesk,IT Helpdesk Technician,"Current Employee, more than 5 years","Ridgefield Park, NJ",Easy work Easy money Easy commute,"Low salary
Low chance to convert to full time
Low chance to move up"
