Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Encora,4.0,"Mar 9, 2024",Nice place to work,Senior Software Engineer,Current Employee,Alajuela,Opportunities to learn and grow,None so far since I got here
Encora,3.0,"Feb 28, 2024",Good for a temporary job,Developer,"Former Employee, more than 8 years","San Jose, San Jose","Fair pay, reasonable working hours.","Human factor got lost at the latin american branch when Avantica got acquired by encora.
Job stability is just not there anymore. Project-wise they don't seem to have as much as they claim, so lay-offs happen often.
Unless you nail a management position, it is hard to guarantee you will stay there."
Encora,4.0,"Mar 5, 2024",It's good,Software Engineer,"Current Employee, less than 1 year","Mérida, Yucatán","Good engagement, good projects, it has options for professional growth.","Questionable management of employee, company's economy updates provided are sketchy, time in the opportunities pool can be very long."
Encora,4.0,"Mar 7, 2024",Professional Team,Sr. Software Engineer,Former Employee,"Coraopolis, PA",Health care benefit were good.,"Fixed salary, no yearly increment"
Encora,5.0,"Dec 23, 2023",Boa empresa para trabalhar e crescer,Software Engineer,"Current Employee, more than 5 years","Campinas, São Paulo","Ótima empresa para trabalhar e crescer, os acompanham cada um de perto e de forma indivualizada, montando plano de carreira, que se adeque principalmente aos objetivos de carreira de cada um.","Um contra que é um ponto positivo dependendo da perspetiva, é que por a empresa ter sede no BR, os contratos são CLT, apesar de trabalhar como extensão dos clientes (no qual boa parte é dos EUA), desta forma a remuneração é um pouco acima da média brasileira, mas não tão acima, devido aos custos da CLT, bem como a forma da Encora trabalhar, que é mantendo um relacionamento de longo prazo com seus funcionários, ou seja, mesmo que o cliente encerre o contrato, a Encora realoca todos, independente do tamanho da equipe, mesmo que tenha que manter alguns funcionários, durante este período sem tá sendo pago por nenhum cliente, o que é um benefício tanto pra Encora quanto para seus funcionários."
Encora,5.0,"Mar 4, 2024",Good enough ,Devops Engineer,"Former Employee, more than 1 year","Warnes, Santa Cruz","Remote, pay way more than national rates",Nothing that is worth complaining about
Encora,4.0,"Feb 26, 2024",Una experiencia nuetral,Senior Software Engineer III,Former Employee,"Cali, Valle del Cauca",Una empresa multinacional con una amplia vision de crecimiento,"No hay feedback de lideres, te sacan de un momento a otro sin una explicacion clara."
Encora,4.0,"Feb 20, 2024",Great company with dynamic leadership,Sales Executive,"Current Employee, more than 1 year","Scottsdale, AZ",Excellent customer base and global presence,Needs to build some industry solutions to differentiate in the marketplace
Encora,4.0,"Feb 15, 2024",Great Place to Work,Software Engineer,"Current Employee, more than 1 year",,"People Engagement
- People Engagement team are hands on","Awards
- Not much of cons for now but this one is the more evident, If you're a client-based employee you need to work 5 times harder to be recognized."
Encora,4.0,"Feb 19, 2024",Good positions. Not homogeneous salary ranges,Software Engineer II,"Former Employee, more than 5 years","Lima, Lima Region",Good positions on projects with cutting-edge tech stacks,Dev within same team have not homogeneous or similar salary levels. Poor quality on management positions
