Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Kyndryl,5.0,"Mar 10, 2024",good,Director,Current Employee,,good management team in hq,will take time to drive growth
Kyndryl,3.0,"Mar 10, 2024",Mainstream- cloud computing,IT Project Manager,"Current Employee, more than 5 years","Delhi, NY",Various cloud migration experience from data processing to application modernisation. Globalisation and overall recognition worldwide,"New player in market and hence profit margins are low, thereby impacting the employee salaries"
Kyndryl,5.0,"Feb 29, 2024",Salary good,Anonymous Employee,"Current Employee, less than 1 year","Atlanta, GA","Good pay, good incentives, smart people.",Nothing to share at this time.
Kyndryl,5.0,"Feb 23, 2024",My Experience with Kyndryl,Incident and Problem Manager,Current Employee,,An excellent company to work where we will be encouraged and we can share our ideas with our team colleagues.,Nothing to report about the company.
Kyndryl,4.0,"Dec 21, 2023","Navigating Kyndryl: Benefits Shine, but Compensation and Management Vary",Senior System Administrator,"Current Employee, more than 5 years","Columbia, MO","Kyndryl has a great vacation and sick-leave policy for full-time employees. They guarantee 7 days of sick time per year with the ability for your manager (or short-term disability) to increase this number. We are also given 4 personal choice holidays, 8 paid holidays, and 15 vacation days. Depending on your role and manager, there is flexibility in your working hours that allow for you to ""flex"" time when necessary.","Pay is lower than market value and employees that stay with the company are not given adequate raises to keep up with cost of living, experience, or new hires. A lot of your experience is solely determined by the manager that you have. Some managers are great and some are absolutely terrible."
Kyndryl,5.0,"Feb 22, 2024",IT Director,IT Director,Current Employee,,"Flexible, Flat, Focused, People friendly","Heavy Mainframe contracts, Negative GP contracts"
Kyndryl,2.0,"Aug 24, 2023","Making it up as they go along, quickly becoming the worst of IBM.",Partner,"Former Employee, more than 1 year",Midtown New York,"Great legacy with IBM GTS, as such they have access to a stellar account base. Some good people. They are working hard to provide more comprehensive services. Salaries can be good for some when they don't change the comp plan.","For some reason they did not protect themselves when the contracts novated over from IBM. So that when IBM raises their prices to Kyndryl, they try and pass it along to their customers even mid-contract with them. This causes a customer sat issue. Lots of sat issues. Not focusing on organic growth but only on the few profitable clients. Old time IBM management employees form a click and protect themselves at the cost of efficiency. There is a lot of people staying in roles where they should be shifted and moved around. Others are promoted prematurely based on old connections. Perhaps they will have a management RIF. Top leaders have exorbitant salaries while they rework the comp plan to focus on GP and reduce commissions to those who own the day to day relationships. ( see my comment above on why that is harsh - they artificially raise allocation on SOW's to increase cost of sales )"
Kyndryl,1.0,"Feb 2, 2024",Miserable culture at Kyndryl- Worst of IBM was spun off,Director,"Current Employee, more than 8 years",,Some nice people trying to earn a living.,"They do not pay commissions
DEI is rampant as was imparted by IBM CEO. 
Hangers-on all over the place.
IBM mentality which will drive it into the ground
People are not managed properly. Have no ideas at skillsets as all they do is manage by spreadsheet.
No real products anymore. Just resellers of other's products and services."
Kyndryl,5.0,"Jan 29, 2024",It was great working with Kyndryl,Associate Software Engineer,Former Employee,,I'm happy to be a part of Kyndryl. The company is totally a positive environment. They encourage their employees to learn new languages and give support to employees to explore. The company is totally motivated to move to AI.,Bonuses and increments are very low...percentages of hikes are single digits. 
Kyndryl,5.0,"Feb 14, 2024",Good company ,Deskside Engineer,"Former Employee, less than 1 year","New York, NY",Friendly work environment. Great location.,My commute was about a hour as the job site was downtown Manhattan
Kyndryl,2.0,"Feb 22, 2024",Chaos & Nonstop work,Anonymous Employee,Former Employee,"New York, NY","Full time work from home
Mostly nice people
Good base salary. No bonus or other compensation though.","Worked 7 days a week 10+ hour days. IBM picked people to go to Kyndryl and then spun the business off. I'd call that a fancy way to get rid of people.

Nonexistent culture & values"
Kyndryl,1.0,"Mar 9, 2024",High political,Partner,"Current Employee, more than 1 year","Arlington, TX",It was a gts ibm,High political and no growth
Kyndryl,4.0,"Feb 6, 2024",Business Development,Business Development Partner,"Former Employee, more than 1 year","New York, NY",New company on the rise,"Over hiring, having to Re-balance employee count and strategy..."
Kyndryl,5.0,"Jan 26, 2024",Great company to work for!,Project Manager,"Current Employee, more than 10 years","Los Angeles, CA","Supportive/inclusive environment, challenging work, opportunity for internal movement, flexible hours and remote work available, competitive pay.",Not as flat as it could be. Lots of change in short periods of time.
Kyndryl,4.0,"Feb 7, 2024",Great,Program Manager,Current Employee,,"Great company, lots of opportunity for growth",The management could be better
Kyndryl,3.0,"Jan 28, 2024",Sales volume not keeping up,Infrastructure Architect,Former Employee,,"Attempting to consult in modernization and lead in design/ architect Infrastructure for many major initiatives, including Cloud migration.","After IBM Global Services was spun off of IBM as Kyndryl there has been a cut in customers leaving, and not enough new accounts coming in.  "
Kyndryl,5.0,"Feb 2, 2024",Great Company,IT Management Consultant,"Current Employee, less than 1 year","Norway, IN",Culture and Opportunities in the company is great,I cant really think of any atm
Kyndryl,3.0,"Feb 24, 2024", Good company,IT Specialist,"Former Employee, more than 3 years","Dallas, TX",Working for this company allowing me to work remotely,I have nothing to share
Kyndryl,5.0,"Jan 24, 2024",Manage global process for CapEx,Capex Coordinator,"Current Employee, more than 5 years","New York, NY",Offers a great work-life balance,Data systems issues are cumbersome
Kyndryl,2.0,"Jan 18, 2024",Lack of Diversity on the Communications Team = Unchecked Microagressions,Senior Lead,"Former Employee, less than 1 year","New York, NY","For me, the salary was great and the bonus was a plus, also!","While I was thankful to have collaborated with great people in various areas of the company, two colleagues created one of the most toxic work environments ever. I did not feel supported by the people who were my teammates. To make matters worse, one person blamed their behavior on ""being an Aries."" 

I couldn't leave that company fast enough."
Kyndryl,4.0,"Jan 16, 2024",Great company great people,Marketing Specialist,Current Employee,"New York, NY",Company culture values changing the way it's been from its pre-spin company.,"Still in the beginning phases, lots of stuff to figure out but doing it well."
Kyndryl,5.0,"Nov 21, 2023",Opportunities for growth,Anonymous Employee,"Current Employee, more than 1 year",,"Kyndryl's culture of restlessness and empathy sets the tone for employees to feel valued and part of the company's overall strategy. Combined with a commitment to invest in employees' education, you feel like your personal growth is fueling the company's growth too. And Kyndryl certainly checks the box for aligning with my personal sustainability goals.","With that restlessness comes some impatience, so I have to remind myself that every action taken is part of the overall plan to build Kyndryl's profitability and return the company to growth."
Kyndryl,4.0,"Jan 10, 2024",Great place to work,Manager,Former Employee,,"Flexibility, Nice people to work with",corporate restructuring and outsourcing caused me to lose my job
Kyndryl,3.0,"Feb 20, 2024",Alright,Network Engineer,"Current Employee, more than 8 years","Bentonville, AR",Company isn’t bad. They rarely give raises,Not enough raises. Workload isn’t terribe
Kyndryl,2.0,"Sep 9, 2023",Same Old Corporateness :),Senior Project Manager,"Former Employee, more than 1 year","Beaverton, OR","Not sure if my experience was the same as others because I was hired by a manager who I already knew and she was brought over from another major corporation, but I was paid well and left to do my job remotely without a manager wanting my butt in a seat to prove I can work.",They try to sell themselves as different than IBM or other older more established corporations but the reality is they took a bunch of IBM old guard and moved them over so a lot of the backdoor dealings are the same. I found upper management to be less than forthright which is expected but not only that they downright lied to hundreds of us for months before we were finally given a measly 2 weeks notice. They prefer offshore Costa Rica or India workers because they are cheaper even if it means a lower quality of work or that others have to do rework.
Kyndryl,5.0,"Aug 28, 2023",Modernization - Constantly Learning and Growing,Sr Manager Software Engineering,"Current Employee, more than 10 years","Harrisonburg, VA","In the short time that Kyndryl has been in existence, post separation from IBM, we have been in a constant state of evolution and modernization. Throughout this process the company has provided extensive training and industry certifications, as well as real practical experience in a multitude of critical and in-demand skills. The company has emphasized up-skilling rather than reducing legacy skills and hiring modern skills. We've also seen movement for gender equality through advocacy groups, job title transparency, enhanced HR benefits, and executive training for women.",Promotions and pay increases are limited regardless of relative contribution.
Kyndryl,5.0,"Jan 9, 2024",Much potential,Senior Product Owner,Current Employee,"New York, NY","Work-life balance, schedule flexibility and respectful attitudes","Organizational skills are often lacking, and potential for advancement"
Kyndryl,4.0,"Jan 9, 2024",Great work life balance,Lead Security Consultant,"Current Employee, more than 3 years","Columbia, MO",Flexible workplace means I can work my own hours when needed,Benefits could be better. Insurance cost has gone up significantly.
Kyndryl,4.0,"Jul 18, 2023",More good than bad,Associate Director - IT,"Current Employee, more than 1 year",,"The people are great and genuine, strong culture, Remote Friendly, Stong Benefits, Better that average Salary, Leadership in CIO is fairly transparent and seem to care.","As a recent divestiture, too many things are happening at once while approaching fully breaking away. Disconnect between different areas, so gets confusing. Standard processes and procedures do not exist (yet, being worked on at least)"
