Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Zebra Technologies,4.0,"Mar 11, 2024",Work life,Implementation Specialist,Current Employee,,Zebra has great work life balance,Salary is on the lower end
Zebra Technologies,5.0,"Jan 9, 2024",Good and bad,Lead Engineer,"Current Employee, more than 8 years","Colombo, Western","- Good for a person who is looking for his first job. For a example land in a job like C++/C developer. This company is a great opportunity.
- Good internship opportunities. 
- Good technical depth and interesting projects to work in.
- Inside first 10 of the friendly workplaces in SL. 
- Friendly managers.
- non strict dress codes.","- It's a normal thing that experienced people are leaving.
- Salaries are not competitive with the other companies."
Zebra Technologies,4.0,"Mar 10, 2024",Benefits pros and cons,Junior Project Manager,"Current Employee, more than 1 year",Brno,"Support, environment, career growth, benefits",So far not so many cons other than salary
Zebra Technologies,4.0,"Feb 25, 2024",Lack of leadership and commitment to  learning development ,Learning Advisor,"Former Employee, more than 10 years","Holtsville, NY",Competent and helpful peers. Great focus on DEI. Innovative products. Great engineering teams.,Below market compensation. Poor work/life balance Directors mostly pass the buck instead of accepting responsibility for poor decisions.
Zebra Technologies,4.0,"Mar 5, 2024",Work life balance,Software Engineer,Current Employee,Pune,Work life balance is very good,Low compensation as compared to other
Zebra Technologies,4.0,"Mar 1, 2024",Culture Good,Senior Project Manager/Program Manager,"Current Employee, more than 8 years","Lincolnshire, IL",Strong culture. Good managers. Inclusion and Diversity strong. Plenty of work. Unlimited PTO.,Limited promotions. Focus on youth not more senior people.
Zebra Technologies,5.0,"Mar 1, 2024",Great experience at Zebra,Senior Product Manager,"Former Employee, more than 5 years","Chicago, IL",Supportive organization. Engaged managers. Open to new ideas. Support innovation.,Need to overcome some level of organizational 'silos'
Zebra Technologies,4.0,"Feb 21, 2024",Workloads Heavier Each Year,Anonymous Employee,"Former Employee, more than 8 years","Lincolnshire, IL","Development, growth and impact opportunities, strong company vision, approachable leadership; smart and hardworking colleagues; good health insurance",Heavy workloads impacting morale; have to fight for pay and promotions; some favoritism; benefits average
Zebra Technologies,4.0,"Mar 2, 2024",Salary is really good,QA Engineer,Current Employee,Bengaluru,Everthing is good. Nothing as such,None for now. all good
Zebra Technologies,4.0,"Feb 24, 2024",A fabulous work environment albeit at the cost of professional growth,Research Engineer,"Former Employee, more than 5 years","Lincolnshire, IL","*Amazing colleagues, great mentorship, challenging projects
*Mostly worked with the latest software stack/tools","*Lack of growth opportunities
*Leadership stalemate
*Very low compensation"
Zebra Technologies,3.0,"Feb 26, 2024",Review,Data Analyst,"Current Employee, less than 1 year",Brno,"Good work-life balance in office hours
Good people and good culture",Salary and benefits are relatively low.
Zebra Technologies,5.0,"Feb 27, 2024",Good company,Demand Planning Manager,"Former Employee, more than 3 years","London, England",Good working facility in the office,No career growth and no bonus
Zebra Technologies,3.0,"Feb 23, 2024",It was a good company to work,Sotware Engineer,"Current Employee, more than 1 year",Bengaluru,"Nice environment. 
Good salary
Flexible","Work pressure
Over time
Fine"
Zebra Technologies,3.0,"Feb 18, 2024",Good for upto 6 yrs exp candidates.,Product Manager,"Current Employee, more than 3 years",Pune,Product development as per industry standards.,"Not much salary hike.
Too much of processes for promotions.
No onsite opportunities."
Zebra Technologies,1.0,"Mar 1, 2024",Unprofessional management,Software Engineer,Current Employee,,"Zebra gem points, salary, holidays these are the only perks here","Work culture, team management, more frequent firings"
Zebra Technologies,3.0,"Feb 19, 2024",Zebra salaries,Solution Consultant,Former Employee,"New York, NY",good pay from the first day,"lots of red tape, management"
Zebra Technologies,4.0,"Jan 31, 2024",Great Product Development Opportunity,"Manager, Program Management","Former Employee, more than 8 years","Mississauga, ON","Great opportunities to develop/engineer complex products for various markets. Mississauga location has a great working environment with friendly, creative Engineers and Software Developers. A positive work environment.",Key decisions are often made from locations in the US. Canadian employees are more vulnerable to short-term business decisions than their US counterparts.
Zebra Technologies,2.0,"Feb 16, 2024",Not the best,Anonymous Employee,"Former Employee, more than 5 years",,Lots of overtime if you like it,Not much appreciation for alot of work
Zebra Technologies,5.0,"Feb 14, 2024",Good place to work,Sales Associate,Current Employee,Kuala Lumpur,Dynamic work environment and good work life balance,Demoralizing pay structure that was introduced recently
Zebra Technologies,3.0,"Feb 12, 2024",personal opinion ,Production Supervisor,"Former Employee, more than 1 year","San Jose, CA",Good medical benefits and others incentives,"Need to work on work-life balance, difficult on hourly employees to plan for PTO"
Zebra Technologies,4.0,"Feb 13, 2024",Good work environment,Software Engineer,"Current Employee, more than 1 year","Colombo, Western",Work environment is good and with a good culture,Pay is not that high
Zebra Technologies,4.0,"Feb 1, 2024",Customer Technical Support,Customer Technical Support,"Former Employee, more than 5 years",Bayan Lepas,"Good benefits, health insurance, ZFlex (annual RM1000 for personal expenses)","Big corporation, any change or suggestion get lost in the corporate world. Too many departments involved for anything. Customer support agents are usually the last to hear about important changes or new products"
Zebra Technologies,1.0,"Feb 27, 2024",Good ol boys,Director,"Former Employee, more than 10 years","Holtsville, NY","Stable company
Good benefits
Nice people","Good old boys club
Too many reports"
Zebra Technologies,2.0,"Feb 15, 2024",Work Culture is awesome,Software Engineer I,"Current Employee, more than 1 year",Bengaluru,"Employee friendly
More of PTO's","Less compensations
Less hikes
Less visibislity to higher management"
Zebra Technologies,3.0,"Feb 11, 2024",Average Company To Work,Anonymous Employee,Current Employee,Bengaluru,"Work Life Balance and Flexibility
Facilities","Favouritism 
No Value for towards Contribution (No proper measurement)
Internal Politics"
Zebra Technologies,2.0,"Jan 22, 2024","Great company, cliquey leadership.",Anonymous Employee,"Former Employee, more than 3 years","Lincolnshire, IL","Good company, well promoted, name recognition.",Leadership is very cliquey and focused on their salaries/bonuses but at the cost of overworking and overloading anyone outside of the inner circle or those not playing politics.
Zebra Technologies,4.0,"Feb 13, 2024",Very good company to work,Business Analyst,"Current Employee, more than 1 year",Bangalore Rural,"Time flexible
Good leave policy",Not much compared to other industries
