Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
BMC Software,5.0,"Mar 5, 2024",Good company,Scrum Master,"Current Employee, more than 3 years",Pune,BMC IS go to company for work life balance,Growth is slow as per career
BMC Software,5.0,"Feb 21, 2024",Great Company,Business Development Representative (BDR),"Former Employee, more than 1 year","Houston, TX","Great Training
Upward mobility
Fantastic culture","Low pay
Product can be a tricky sell"
BMC Software,5.0,"Feb 20, 2024",Good company,Technical Support Engineer,"Current Employee, more than 5 years",Pune,Good company for experienced people,Not that I am aware of
BMC Software,3.0,"Mar 7, 2024",Never short of something to learn,Technical Support Analyst,"Current Employee, more than 3 years","Reading, England","Great colleagues
Great support structure","Very busy
Steep learning curve, but training is provided"
BMC Software,3.0,"Feb 6, 2024",It Depends,Anonymous Employee,"Former Employee, more than 10 years",,"Company is doing well financially. This is reflected in paying out good bonuses recently. Overall, it's still a decent place to work.","There is no over-arching culture. Your experience is almost solely dictated by your department/manager. If you happen to work in a good department with a good manager, you'll probably enjoy working at BMC very much. If you're unfortunate and work in a department with a not-so-good leader, you're going to have a pretty miserable experience!"
BMC Software,5.0,"Feb 16, 2024",Good,Software Engineer,Current Employee,Bengaluru,YEs is is good company to work,No all the environment are good
BMC Software,4.0,"Feb 25, 2024",good company to be retierded ,Software Developer,"Former Employee, more than 1 year",Tel Aviv-Yafo,easy slow improvement easy if you want to work in another line of work,get lost in time and every thing around you go faster then you are stuck in this
BMC Software,4.0,"Feb 27, 2024",Good company,Devops Engineer,Current Employee,Tel Aviv-Yafo,"Good company, good people, good vibes",They pay below average than others
BMC Software,5.0,"Jan 23, 2024",I'm happy to work at BMC,Data Engineer,"Current Employee, more than 5 years","Austin, TX",I get to work on projects I enjoy and that will hopefully advance my career.,Promotion might be a challenge in my current position.
BMC Software,5.0,"Jan 17, 2024",Best company I have ever worked for!,Value Engineer,"Current Employee, more than 3 years",,"- Genuinely care about employees as individuals 
- Strong Solutions in the marketplace
- Competitive Salary","Can sometimes be difficult to break past the entry level roles, well worth it once you do."
BMC Software,5.0,"Jan 29, 2024",Good,Senior Platform Systems Administrator,Current Employee,Bengaluru,"Great Company and Culture , Employee friendly and Product based",None as of now .
BMC Software,4.0,"Feb 26, 2024",Good,Anonymous Employee,Current Employee,Chengalpattu,Working then what is the therium,Working life balanced diet for Indian
BMC Software,3.0,"Feb 25, 2024",Good Pay,Technical Support Engineer,"Current Employee, more than 3 years",Pune,Provide all types of facility great place to work,Issue with work life balance
BMC Software,5.0,"Jan 16, 2024",Wonderful working place,Business Development Representative (BDR),"Former Employee, more than 1 year",Singapore,"Clear career path for you to develop yourself.
Buddy system ensure your smooth onboarding.
You can always find helps whenever you need it.",Regional culture might differ from what you are accustomed to. You need time to adapt.
BMC Software,5.0,"Jan 24, 2024",Great company,Senior Director,"Current Employee, more than 3 years","Houston, TX","- Excellent culture of collaboration
- Great talent and excellent opportunity for growth",Would like to see more innovation
BMC Software,2.0,"Feb 22, 2024",Not great,Business Development Representative (BDR),Current Employee,"Boston, MA","Flexibility, coworkers, benefits, PTO, path to success","Salary, leadership, expectations, culture, false promises"
BMC Software,4.0,"Feb 21, 2024",good,Software Engineer,"Current Employee, less than 1 year",Bangalore Rural,good environment for starting job,real job growth is a bit lacking
BMC Software,5.0,"Jan 19, 2024",Amazing company to work at,Assoc Product Developer,"Former Employee, more than 1 year",Bengaluru,Best team. Best services and domain knowledge. Always upgrading.,None as such. Its a good company
BMC Software,2.0,"Jan 16, 2024",Laid Off to Save the Bottom Line,Project Manager,"Former Employee, more than 1 year",,"Work life balance
Great bonuses",My position was eliminated after 16 months. It was a brand new role. I am surprised they didn't try to find another place for me. I heard that the company is turning public and they were trying to make the numbers look as good as possible.
BMC Software,4.0,"Feb 18, 2024",Good company,Sr. Automation Engineer,"Current Employee, more than 5 years",Pune,Best perks and benefits with work-life balance,hybrid model with 3 days from the office
BMC Software,4.0,"Feb 12, 2024",Overall a good Company,Automation Engineer,"Former Employee, more than 3 years",Pune,All good benefits and cab facility,Some Managers are worst in behavior. Very Biased
BMC Software,5.0,"Jan 15, 2024",Great company to work for,Lead Financial Analyst,"Current Employee, more than 8 years","Houston, TX","Great pay, great management & work that continually challenges & grows you.",Advancement is a very slow process.
BMC Software,5.0,"Jan 17, 2024",Associate,Software Engineer,"Current Employee, less than 1 year","Colombo, Western",Good working environment and sallary,Bad communication and stressfull work
BMC Software,5.0,"Jan 18, 2024",Great place to work for innovators,Product Developer,"Current Employee, more than 1 year",Bengaluru,"Great management
Good work environment",I do not see any cons
BMC Software,4.0,"Feb 16, 2024",lkjljdlskf,Software Engineer,Current Employee,"Egypt, Shelby, TN","a good culture
great people 
very good","a lot of tasks 
women f
people"
BMC Software,4.0,"Feb 14, 2024",review of job position,Systems Administrator,Current Employee,"Guadalajara, Jalisco",the interview level was very systematic,the interview result took time
BMC Software,5.0,"Jan 11, 2024",Nice,Software Engineer,Former Employee,"Detroit, MI","Good people, and interesting projects",Nothing specific comes to mind
BMC Software,5.0,"May 12, 2023",Employee Empowerment and Care,SOS Specialist,"Current Employee, more than 1 year","Houston, TX","One of the reasons I love working at BMC is because they truly care about their employees. There are hundreds of programs to fit the needs of every individual and we are always encouraged to reach out when it's warranted. BMC has some of the best healthcare options I have experienced in my occupational career, and they are always willing to listen and determine the best course of action to make sure their employees have everything they need. There are also a ton of opportunities to move around the company if you wish and I have found my management to be incredibly supportive of growth in any form, so there is no backlash to ambition.","I don't have any true downsides to working with BMC, I guess I would say that the experience you have is what you make of it. The energy you put in to working at BMC is what you are going to get out of it. BMC has a net positive/neutral environment to work with, so if you give it your best to communicate and work towards your ambitions, you won't have any problems."
BMC Software,5.0,"Jan 4, 2024",Stable Company,Manager,"Current Employee, more than 1 year",Singapore,Good Culture with strong leadership.,Nothing too much to mention at the moment.
BMC Software,5.0,"Jan 5, 2024",Workplace,AVP-Sales,"Current Employee, more than 10 years","New York, NY",Amazing company to work for.,"As of today, not a single one"
BMC Software,5.0,"Jan 5, 2024",.,Senior Product Developer,Former Employee,Chennai,"Good package, flexible work timings. Technical Knowledge learning",None as of I know
BMC Software,4.0,"Feb 4, 2024",Work like balance in BMC,Application Developer,Current Employee,Pune,Good team management and good experience,Project timelines are short due to which work pressure is more
BMC Software,3.0,"Jan 9, 2024",Work Commute,Sales Order Specialist II,"Current Employee, more than 3 years","Houston, TX",Very flexible with time off,many people live close to an hour away and they still make me come in to the office. literally everything i do in the office i can do at home. is point less to come in. is costing me more money to come in that what i am making.
BMC Software,5.0,"Dec 14, 2023",Great place for long term employment,Lead Engineer,Current Employee,"Houston, TX","Unlike many tech companies, it's possible to have a 20+ year career here if you want that sort of thing.",Doesn't pay like a startup or have stock right now.
BMC Software,4.0,"Jan 25, 2024",Loved working there,Software Engineer,Former Employee,"Virginia Beach, VA",Great people. Fun office and work environment!,Hours can get a bit weird if working with people from other countries.
BMC Software,3.0,"Jan 31, 2024",Review ,Project Manager,Former Employee,"Houston, TX",Good experience opportunity for novices,Tendency to have large layoffs
BMC Software,5.0,"Dec 13, 2023",Great experience,Principal Support Account Manager,"Current Employee, more than 1 year","Guadalajara, Jalisco",Great company with great people. There is always someone willing to help.,"None so far, I am very happy working at BMC."
BMC Software,4.0,"Jan 27, 2024",Good Company culture,Staff DevOps Engineer,"Current Employee, more than 5 years",Pune,"1. Good Culture
2. Good Salary
3. Challenging work environment",1. More power in manager's hand.
