Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Works Applications,5.0,"Oct 10, 2019",As one team,Project Manager,"Current Employee, more than 3 years",,"Good Management team and good co-workers
Excellent Benefits",Salary is enough but not competitive
Works Applications,4.0,"Aug 30, 2023",A company with decency,Product Manager,Current Employee,,"It used to be a ERP top player in the Japanese market, but no anymore because of some severe lawsuits. Luckily, it managed to survive with the help of the no.1 general contractor in Japan. Overall, it has a positive environment, faily high hourly rage given the small amount of workloads, and quite many chances to innitiate some thing new.","Can get stuck in a position for because of the long stagnated growth. For the product team, the management team all came from engineering background, so not so diverse."
Works Applications,1.0,"Aug 29, 2022",Ignore it,Anonymous Employee,"Former Employee, less than 1 year","Los Angeles, CA","Big vision, but poor execution.",You can feel learn the effect of mind control
Works Applications,3.0,"Feb 14, 2022",Good company,Business Analyst,Current Employee,"Los Angeles, CA",Good salary is the pros,Overtime may be the cons
Works Applications,3.0,"Nov 10, 2021",Good for fresher,Senior Engineer,Former Employee,,"Free drink, flexible, a lot of challenges for fresher",Lack of management in a organized and structured way
Works Applications,4.0,"Mar 4, 2019",Perhaps not for the faint of heart,Software Development Engineer,"Former Employee, more than 3 years",,"My managers and colleagues were absolutely wonderful and the starting salary was excellent. Great place for people who are willing to roll up their sleeves and dig into problem solving. There are many opportunities for people who want to challenge themselves, even if you are a fresh graduate.",Needs to bring in more people who can bridge the Japan (HQ)/overseas gap and the upper management/new hire gap.
Works Applications,2.0,"Jan 17, 2018",Not ready to compete outside of Japan in many ways,Anonymous Employee,Former Employee,,"Nice Health package, you need it working for this company.",Too much dependency in Japan without authority in USA to proceed business
Works Applications,2.0,"Aug 10, 2018",Its business is not going well,Anonymous Employee,Current Employee,,"Pros: friendly, small, a lot of free time","Cons: layoff, failing business, no customer, too much control by Japan HQ"
Works Applications,3.0,"Jan 29, 2019",Hard to say,Devops Engineer,"Former Employee, less than 1 year",,My manager was very friendly.,Old system.  Enroll too many new employees without enough computer science background.
Works Applications,3.0,"Jul 2, 2019",Typical Japanese IT Company,Product Design Engineer,Former Employee,,Had the chance to learn lots of new things.,Management was not the greatest
Works Applications,5.0,"Dec 15, 2023",Jolues2watt has good policies and good package related benefits company,Application Support Engineer,Current Employee,,"Likes
Equal importance given by the company on personal and work life balance is greatly appreciated. Salary on time to credited in account. Company extracurricular activities are best.",Priyankanta Chaudhary is a good HR for all handling the opening jobs. First step to last steps like a form filling -document verification - clearance of the document and also salary slips.
Works Applications,4.0,"Jan 15, 2024",Not bad company,Senior Software Engineer,Former Employee,"Shanghai, Shanghai",Work life balance and nice teammates.,The high level policy is changing frequently and makes employee confused.
Works Applications,4.0,"Jan 7, 2024",Good company,Software Engineer,"Former Employee, more than 3 years",Singapore,"1. Good salary
2. Good culture","1. Slow promotion
2. Had some layoffs"
Works Applications,4.0,"Jan 3, 2024",Good,Software Engineer,Former Employee,"Shanghai, Shanghai",Lack of salary increase every year,"Work life balance, no overtime"
Works Applications,3.0,"Sep 4, 2023",Good for freshers,Software Engineer,Former Employee,Singapore,Good support/mentorship for those who are starting in the industry. You will learn a lot in the first 2 years. Salary is also good for freshers.,"Management keeps changing long term goals/objectives every year or 2 thus unable to actually achieve them. There is no uniform criteria to evaluate employees(although there is an evaluation system, but its for show only). Its actually based on your team manager. If you have a good relationship with your manager, then you can get a better evaluation than others even if the work done is same or less."
Works Applications,5.0,"Aug 30, 2023",Good place to work,Software Engineer,"Former Employee, more than 3 years",Singapore,Hybrid work. Competitive Salary. Good work environment,No con for this company
Works Applications,4.0,"Jul 26, 2023",Software Engineer,Software Engineer,"Former Employee, more than 1 year","Shanghai, Shanghai",Clear tasks to do and suit developing time,The tech docs are not enough
Works Applications,4.0,"May 6, 2023",Great work culture and hardworking people.,Software Engineer,"Current Employee, more than 3 years",Singapore,"- Works on latest technologies - A lot of chances for personal development - No blaming others, everyone takes responsibility as much as possible.",- Less salary for experienced developers. - No additional benefits
Works Applications,4.0,"May 22, 2023",Good place to start your career with,Senior Software Engineer,"Former Employee, more than 8 years",Singapore,freedom to explore very easy going work environment,Sometimes seems lacking direction not easy to get guidance sometimes
Works Applications,4.0,"May 17, 2023",Very energetic environment but poor governance,Spg,"Former Employee, more than 5 years",Tokyo,All the members are fresh and energetic and highly motivated by the executives.,High flexibility results in poor governance.
Works Applications,4.0,"May 28, 2023",Average - Good,Senior Software Engineer,Current Employee,Singapore,looks good to; good for new joiners,no direction from upper management
Works Applications,3.0,"Aug 2, 2023",Salary review,Presales Consultant,Former Employee,Tokyo,Friendly culture and flat organization,Sometimes not efficient way of working
Works Applications,3.0,"May 15, 2023",The founder is no longer present.,Software Engineer,"Former Employee, more than 3 years",,Pros is none. Pros is none.,"- It's failing at hue. - There was a mass resignation fiasco. - There were word of mouth reports of deals going down in flames - There was a management crisis in the past due to deteriorating - business performance - The founder, Masayuki Makino, retired from the company - There was a lawsuit that led to about 1.4 billion yen"
Works Applications,4.0,"Mar 12, 2023",wlb in shanghai,Software Engineer - Java Developer,"Former Employee, more than 3 years","Shanghai, Shanghai",wlb good working env good salary for new graduated,little salary increase company will be done
Works Applications,5.0,"Mar 12, 2023",Good environment!,Product Designer,Former Employee,,Love the working environment/atmosphere in the company,Product development is relatively slow.
Works Applications,4.0,"Mar 11, 2023",Good location to start career,Software Engineer,"Former Employee, more than 1 year",,"Flat hierarchy, clear growth path",So far none at the moment
