Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Groupon,5.0,"Jan 18, 2024",Evolving company,Anonymous Employee,Former Employee,,Opportunities come at times of change,"Lots moving offshore, so be aware"
Groupon,1.0,"Mar 11, 2024",Worst place to be,Business Development Representative (BDR),"Current Employee, less than 1 year",,unlimited PTO and remote only work. Training manager was the best thing about my experience,"This place is an absolute nightmare. The leadership is the worse I ever seen. First, you go through a one week only training with tons of info. Our training manager was great but she was the only trainer for the US and we only spent one week with her. As soon as you are done training they threaten you with firing you in three weeks if you don’t close a contract. The leads were poor and most businesses closed. In the short time I been here, so many reps, managers and head of sales quit back to back!! It’s a disaster"
Groupon,4.0,"Mar 11, 2024","Good culture, bad job security",Software Engineer I,Former Employee,,"- Smaller teams = broader scope of work
- Good company culture","- Monthly On-call support
- Constantly worrying about job security
"
Groupon,5.0,"Mar 5, 2024",Great,Merchant Development Director,Former Employee,,good company and culture here,not what it used to be
Groupon,4.0,"Mar 2, 2024",New management,Senior Accountant,"Current Employee, more than 5 years","Chicago, IL",Good work life balance and remote/hybrid,New management only care about making money and no longer about their employees
Groupon,2.0,"Mar 11, 2024",Great people/ Bad management ,Software QA Engineer,Former Employee,"Chicago, IL",Great people with beautiful minds. Fun product,Higher ups seem out of touch with our target market
Groupon,2.0,"Mar 9, 2024","Horrible Upper Management, Cut Costs Everywhere",Business Development Director,"Current Employee, more than 5 years","Chicago Heights, IL",Work from home is great for work life balance.,Constantly reducing compensation and commission
Groupon,4.0,"Feb 21, 2024",Groupon HR,Senior HR Manager,Former Employee,"Chicago, IL","Scrappy, energetic workforce that worked hard to stay relevant",Needed more mature leadership development for people managers
Groupon,1.0,"Feb 26, 2024",Completely different company than it once was,Anonymous Employee,"Former Employee, more than 5 years",,May have opportunities to get promoted quickly if liked by new management,"Culture is harsh. Most employees no longer feel that they are cared for as people, but instead just an employee number. Management is taking a strict ""break everything and rebuild"" approach. If you want to put your head down and just work, this culture may be okay for you. But if you want to be a part of a thriving company that has values and a clear mission, I recommend you stay away."
Groupon,3.0,"Feb 27, 2024",Great culture ruined by massive layoffs and strategic failure,Software Engineer,"Former Employee, more than 1 year","Chicago, IL","- Talented engineers/coworkers
- Fun/friendly environment","- Massive layoffs that destroyed culture and result in mass attrition
- Generally not a strong strategy/path towards success again
- Leadership was also always rotating (C-suite getting swapped out multiple times)"
Groupon,1.0,"Feb 20, 2024",Worst company on earth!,Business Development Manager,Former Employee,"Chicago, IL",None. Stay away from this company!,"Day one of training, they’re already telling you you’ll be fired if you don’t pass this test. Then after you pass the test they’ll tell you, if you don’t close a contract within the first month you’ll be fired. None of this was explained during the interview process, wouldn’t have accept the offer if I knew. They “train” you for a week, and during the first week you’re thrown into the fire making calls without full understanding of the product. Low pay as well, not worth it."
Groupon,4.0,"Nov 12, 2023",Fairly balanced place of work,Merchant Development Director,"Former Employee, more than 10 years","Chicago, IL",Great benefits Good pay once you have worked your way up the system Good work/life balance,Some managers picked favorites occasionally Longevity in a role was looked upon as a vice rather than an asset Upper management thought they were above taking counsel from others in positions lower level than them
Groupon,2.0,"Feb 27, 2024",-,Merchant Development Director,Former Employee,"Chicago, IL",The social aspect and people are great,They do not value their employees.
Groupon,2.0,"Feb 6, 2024",Unachievable Goals to make commission,Accoung Executive,"Current Employee, more than 1 year","Chicago, IL","Laid back, fully remote, make your own schedule",KPI and commission structure largely unachievable for most of sales. Many receive less than 100% pay due to actual achievement and make less than livable wage with carrots dangled too far out of reach every quarter.
Groupon,4.0,"Jan 25, 2024",Solid company,Merchant Development Director,"Former Employee, more than 10 years","Chicago, IL",Great leadership with a lot of autonomy.,Not much room for growth or promotions
Groupon,2.0,"Feb 21, 2024",Not great,Anonymous Employee,Current Employee,,"People are nice, culture is okay","Leadership is ever changing, pay is not good"
Groupon,1.0,"Feb 24, 2024",Not a pleasant experience,Junior Sales Representative,Current Employee,"New York, NY",N/A I do not have any,Training was lackluster and went too fast. Told us on day one if we did not perform sales quotas we will be fired.
