Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Infinite Computer Solutions,5.0,"Feb 12, 2024",Good,Project Manager,"Current Employee, more than 3 years","Los Angeles, CA",good company to work with,nothing i can think of
Infinite Computer Solutions,1.0,"Feb 1, 2024",!!!BEWARE!!! NO TRANSPARENCY,Engineer,"Former Employee, more than 1 year",,"None, nothing, nada bueno, not a thing. 

MSPs like these are dime a dozen.","1. Pay is barely market rate
2. Health and other benefits are pricey and they don't disclose how much they contribute to the cost. I suspect its less than 10%
3. No transparency about client changes until they are ready to lay you off
4. Not willing to work with you to change clients even though they are a large MSP with multiple roles/clients available
5. Poor to no feedback during outgoing process and horrible excuses for layoff
6. You have to take a stand on your work/life balance otherwise they steamroll right over it
7. Yearly reviews and salary increases are minimal at BEST"
Infinite Computer Solutions,4.0,"Mar 10, 2024",good,Data Engineer,Current Employee,,"quick response , HR support",Unexpectedly project end. No support in projects finding
Infinite Computer Solutions,3.0,"Mar 9, 2024",Never increase pay,Help Desk Analyst,"Former Employee, more than 1 year","Maryland City, MD","Nice work environment, no one behind you as long as you get your job done on time.","Never promote people, never increase pay even though the recruiter said they will increase my pay 3 months after my start day, now 2 years never increased the pay"
Infinite Computer Solutions,3.0,"Mar 11, 2024",Nice,Teradata Developer,"Current Employee, more than 1 year","Atlanta, GA",Nice and good place to work for freshers,Everything we can learn in a easy way
Infinite Computer Solutions,1.0,"Feb 27, 2024",Most Useless Company,Anonymous Employee,Former Employee,,"Good for you, ONLY until you are good for them and ONLY until you are bringing money for them.","Company works in Silos. No one knows what is happening in the company. Every group is in a startup mode. No support. 
If you are out of the project, You will be ousted from the company. 
HR/Recruitment will never utilize people on bench, even if there are matching open positions- perhaps they may be having bonus only on new candidates."
Infinite Computer Solutions,2.0,"Feb 5, 2024",My offer was full time but a contract review sent me packing,IT-Architect,"Former Employee, less than 1 year","Raleigh, NC",I really liked the people I worked with at ICS and also their client.,"They should have a bench policy because they lose great talent with a zero-bench policy. Also, they should have shared this zero-bench policy with me up front. I probably would not have taken the position."
Infinite Computer Solutions,1.0,"Jan 6, 2024",Don't work for this horrible company,Medical Scheduler/Customer Service Representative,"Current Employee, more than 1 year","American City, CO",This company cares only about money. They do not pay on holidays and make you take extra days off to help the company. No raises or promotions. No matter how long you been there,I was an excellent customer service employee. I was fired because my dog 1 day only was barking. I apologize to the veterans and they were ok with it . I was let go for my dog barking.I was never praised for all the good reports from our veterans. never had 1 complaint.this place is not employee friendly.no raises or given credit for the good you preformed..Please don't work for these uncaring people. Their not even from America. The owner lives in another country and does not understand the America way
Infinite Computer Solutions,1.0,"Feb 2, 2024",Hire and Fire,Quality Assurance Analyst,"Current Employee, more than 1 year","Jersey City, NJ",Nothing I can mention here,"One of the worst company ever worked for. They Hire and Fire. 
You will see mostly ladies working here as they hire cheap labor with no experience and Harassed them day and night. They fire you without any notice. They lied to customers and gets projects on fixed bid.
No one knows anything here as most of them are fake resources. I am sure one day this company will be sued by clients for bogus people"
Infinite Computer Solutions,3.0,"Feb 19, 2024",Average,Senior Software Engineer,Former Employee,"Rockville, MD","flexible, some grear people to work with","Too many short cuts, greed"
